69,X33.26,4.813133784,15.93000746,Epithelialcell_Krt20high(Stomach),,,,,,,
70,X4.27,4.781511933,15.96815405,Pitcell_Ifrd1high(Stomach),,,,,,,
71,X7.27,4.754804597,15.87794977,Pitcell_Ifrd1high(Stomach),,,,,,,
72,X9.27,4.754701027,15.93052632,Pitcell_Ifrd1high(Stomach),,,,,,,
73,X19.27,4.726061812,15.9505235,Pitcell_Ifrd1high(Stomach),,,,,,,
74,X27.27,4.688237348,16.0049578,Pitcell_Ifrd1high(Stomach),,,,,,,
75,X43.27,4.732916723,16.01417284,Pitcell_Ifrd1high(Stomach),,,,,,,
76,X3.29,4.815970043,15.9555547,Stomachcell_Muc5achigh(Stomach),,,,,,,
77,X7.29,4.671672057,15.80848435,Stomachcell_Muc5achigh(Stomach),,,,,,,
78,X31.29,4.767600677,15.93564245,Stomachcell_Muc5achigh(Stomach),,,,,,,
79,X37.29,4.718173349,15.90707322,Stomachcell_Muc5achigh(Stomach),,,,,,,
80,X43.29,4.653546189,15.68642679,Stomachcell_Muc5achigh(Stomach),,,,,,,
81,X10.30,4.728242606,15.85895529,Stomachcell_Mt2high(Stomach),,,,,,,
82,X20.30,4.795221103,15.76356855,Stomachcell_Mt2high(Stomach),,,,,,,
83,X32.30,4.739520967,15.64075401,Stomachcell_Mt2high(Stomach),,,,,,,
84,X44.30,4.721246538,15.76155548,Stomachcell_Mt2high(Stomach),,,,,,,
85,V195,-8.517922178,5.764126904,endothelial_mouse,,,,,,,
86,X0.33,-8.479960651,5.68616831,Tcell(Spleen),,,,,,,
87,V714,3.102382204,-7.699319098,endothelial_mouse,,,,,,,
88,X7.34,3.000449366,-7.797137695,Epitheliumofsmallintestinalvilli_Fabp1high(Small-Intestine),,,,,,,
89,X12.34,3.266722457,-7.785383667,Epitheliumofsmallintestinalvilli_Fabp1high(Small-Intestine),,,,,,,
90,X22.34,3.245788149,-7.736565463,Epitheliumofsmallintestinalvilli_Fabp1high(Small-Intestine),,,,,,,
91,V1695,1.864503599,-6.984291842,endothelial_mouse,,,,,,,
92,X1.35,1.952672277,-7.010191792,Epithelialcell_Kcne3high(Small-Intestine),,,,,,,
93,X16.35,2.018054307,-7.006010621,Epithelialcell_Kcne3high(Small-Intestine),,,,,,,
94,X46.35,2.056528815,-7.07848179,Epithelialcell_Kcne3high(Small-Intestine),,,,,,,
95,X49.35,2.485692682,-7.348629113,Epithelialcell_Kcne3high(Small-Intestine),,,,,,,
96,X0.37,1.704344772,-7.111689643,Tcell_Ccl5high(Small-Intestine),,,,,,,
97,X5.36,1.867453858,-7.015943976,Tcell_Ccl5high(Small-Intestine),,,,,,,
98,X36.36,1.818354029,-7.072720413,Tcell_Ccl5high(Small-Intestine),,,,,,,
99,X45.36,1.718249976,-7.279967315,Tcell_Ccl5high(Small-Intestine),,,,,,,
100,X46.36,1.854863492,-7.109766,Tcell_Ccl5high(Small-Intestine),,,,,,,
101,X3.38,3.188364753,-7.614197232,Columnarepithelium(Small-Intestine),,,,,,,
102,V284,3.082218079,-7.473605229,endothelial_mouse,,,,,,,
103,X16.38,3.102899434,-7.554260829,Columnarepithelium(Small-Intestine),,,,,,,
104,X0.40,3.15601837,-7.695308757,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine),,,,,,,
105,X5.39,3.15362986,-7.862693147,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine),,,,,,,
106,X10.39,3.059572261,-7.860120111,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine),,,,,,,
107,X15.39,3.168146347,-7.669324352,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine),,,,,,,
108,X28.39,3.139335124,-7.669022429,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine),,,,,,,
109,X31.39,3.181134081,-7.752976919,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine),,,,,,,
110,X36.39,3.163687779,-7.69153208,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine),,,,,,,
111,X41.39,3.130406169,-7.806407341,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine),,,,,,,
112,X43.39,3.151698305,-7.784884772,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine),,,,,,,
113,X19.49,1.90011024,-6.844543668,Bcell_Ly6dhigh(Peripheral_Blood),,,,,,,
114,X33.49,1.906750318,-6.818604898,Bcell_Ly6dhigh(Peripheral_Blood),,,,,,,
115,V342,-9.522830215,8.028457576,endothelial_mouse,,,,,,,
116,X1.56,-9.66024836,7.8178027,Endothelialcell_Fabp4high(Pancreas),,,,,,,
117,V511,-9.518658768,7.388990845,endothelial_mouse,,,,,,,
118,V4761,-9.411932773,8.091800731,endothelial_mouse,,,,,,,
119,V6269,-9.526933813,7.934818632,endothelial_mouse,,,,,,,
120,X4.56,-7.752097642,8.161515586,Endothelialcell_Fabp4high(Pancreas),,,,,,,
121,V15,-9.476374531,8.069076795,endothelial_mouse,,,,,,,
122,X10.56,-9.468011797,7.9243224,Endothelialcell_Fabp4high(Pancreas),,,,,,,
123,V370,-9.145311357,7.511821616,endothelial_mouse,,,,,,,
124,V3371,-9.325008869,7.711995838,endothelial_mouse,,,,,,,
125,V4338,-9.597022461,7.919147431,endothelial_mouse,,,,,,,
126,V4732,-9.301171245,7.955690198,endothelial_mouse,,,,,,,
127,V5696,-9.226967388,7.931584992,endothelial_mouse,,,,,,,
128,X11.56,-7.662513105,8.136891942,Endothelialcell_Fabp4high(Pancreas),,,,,,,
129,V5108,-8.463234609,8.165309658,endothelial_mouse,,,,,,,
130,X12.56,-8.008514073,8.173484928,Endothelialcell_Fabp4high(Pancreas),,,,,,,
131,X13.56,-9.372714828,7.601121247,Endothelialcell_Fabp4high(Pancreas),,,,,,,
132,V1988,-9.21542789,7.858133778,endothelial_mouse,,,,,,,
133,X14.56,-9.330891814,7.826713744,Endothelialcell_Fabp4high(Pancreas),,,,,,,
134,V3237,-9.209793517,7.997237906,endothelial_mouse,,,,,,,
135,V6004,-9.066185695,7.735031032,endothelial_mouse,,,,,,,
136,X15.56,-9.394954511,7.861571158,Endothelialcell_Fabp4high(Pancreas),,,,,,,
137,V4793,-9.355795674,7.666822498,endothelial_mouse,,,,,,,
138,X16.56,-9.702235456,8.032764902,Endothelialcell_Fabp4high(Pancreas),,,,,,,
139,X17.56,-9.35870858,8.118097739,Endothelialcell_Fabp4high(Pancreas),,,,,,,
140,X18.56,-8.49951619,8.209844295,Endothelialcell_Fabp4high(Pancreas),,,,,,,
141,X19.56,-9.473441544,7.896444361,Endothelialcell_Fabp4high(Pancreas),,,,,,,
142,V6966,-9.644194161,7.911484529,endothelial_mouse,,,,,,,
143,X20.56,-9.509386624,8.273181245,Endothelialcell_Fabp4high(Pancreas),,,,,,,
144,X22.56,-9.385252726,7.969810619,Endothelialcell_Fabp4high(Pancreas),,,,,,,
145,X23.56,-9.348204387,8.09443886,Endothelialcell_Fabp4high(Pancreas),,,,,,,
146,X24.56,-7.711752095,8.136463238,Endothelialcell_Fabp4high(Pancreas),,,,,,,
147,X25.56,-9.505693756,7.942772939,Endothelialcell_Fabp4high(Pancreas),,,,,,,
148,X30.56,-9.419858662,8.221071891,Endothelialcell_Fabp4high(Pancreas),,,,,,,
149,X36.56,-8.969511817,7.731548179,Endothelialcell_Fabp4high(Pancreas),,,,,,,
150,X37.56,-8.78743616,8.139972463,Endothelialcell_Fabp4high(Pancreas),,,,,,,
151,X38.56,-9.140958233,8.139233026,Endothelialcell_Fabp4high(Pancreas),,,,,,,
152,X40.56,-9.527918584,8.154297434,Endothelialcell_Fabp4high(Pancreas),,,,,,,
153,X41.56,-9.119568381,8.388567621,Endothelialcell_Fabp4high(Pancreas),,,,,,,
154,X42.56,-9.488451747,8.267963186,Endothelialcell_Fabp4high(Pancreas),,,,,,,
155,X43.56,-8.748709399,7.972072758,Endothelialcell_Fabp4high(Pancreas),,,,,,,
156,X44.56,-8.47839948,8.190453562,Endothelialcell_Fabp4high(Pancreas),,,,,,,
157,X1.58,-3.245182369,-13.73202988,Stromalcell_Smoc2high(Pancreas),,,,,,,
158,V5111,-3.375423396,-13.9011504,endothelial_mouse,,,,,,,
159,V5790,-3.12028625,-13.64809636,endothelial_mouse,,,,,,,
160,X2.58,-3.086143332,-13.98144146,Stromalcell_Smoc2high(Pancreas),,,,,,,
161,V933,-3.11445873,-13.96489419,endothelial_mouse,,,,,,,
162,X4.58,-3.545951153,-14.17334242,Stromalcell_Smoc2high(Pancreas),,,,,,,
163,V125,-3.666100833,-14.22630423,endothelial_mouse,,,,,,,
164,V5090,-3.447097953,-14.35631301,endothelial_mouse,,,,,,,
165,V5869,-3.765933508,-14.22956342,endothelial_mouse,,,,,,,
166,X12.58,-3.23583938,-13.91287086,Stromalcell_Smoc2high(Pancreas),,,,,,,
167,V3111,-3.150785587,-13.60685788,endothelial_mouse,,,,,,,
168,V2278,-2.90386228,-12.88224284,endothelial_mouse,,,,,,,
169,X15.58,-2.881575544,-12.92977904,Stromalcell_Smoc2high(Pancreas),,,,,,,
170,X25.58,-3.21497976,-14.17013748,Stromalcell_Smoc2high(Pancreas),,,,,,,
171,X35.58,-2.879607985,-12.91553861,Stromalcell_Smoc2high(Pancreas),,,,,,,
