Dim1	Dim2	Dataset
2.743107688	-4.582970083	Endothelial_mouse
5.382737529	-13.54289097	Endothelial_mouse
2.510883224	5.337345659	Endothelial_mouse
-1.422382343	-4.152130068	Endothelial_mouse
3.743937862	-6.884081781	Endothelial_mouse
2.597724569	6.625688135	Endothelial_mouse
2.238395822	-6.5914554	Endothelial_mouse
4.656655204	-13.05972332	Endothelial_mouse
2.525732887	4.359417975	Endothelial_mouse
13.42199172	-5.818020285	Endothelial_mouse
3.179831159	5.952872336	Endothelial_mouse
-0.902258563	0.352242499	Endothelial_mouse
3.253005874	5.889864504	Endothelial_mouse
3.934532774	-6.52964443	Endothelial_mouse
4.899076831	5.295240461	Endothelial_mouse
-2.690587866	0.253979057	Endothelial_mouse
2.419941556	3.525424063	Endothelial_mouse
4.239913356	4.616313517	Endothelial_mouse
-0.817224729	-1.265073598	Endothelial_mouse
4.031799448	-4.537061632	Endothelial_mouse
3.290131938	-6.227797926	Endothelial_mouse
3.990908754	4.678537428	Endothelial_mouse
3.218656433	4.69695431	Endothelial_mouse
2.979804409	-5.554704607	Endothelial_mouse
13.65718592	-5.87821287	Endothelial_mouse
4.728647602	-13.00927681	Endothelial_mouse
10.11829699	2.060437739	Endothelial_mouse
3.04859103	-4.691323221	Endothelial_mouse
-3.553477156	0.942568183	Endothelial_mouse
3.065065038	-4.321975172	Endothelial_mouse
4.489915264	-7.242142618	Endothelial_mouse
-10.01843225	6.224609911	Endothelial_mouse
4.742053878	-12.92542881	Endothelial_mouse
5.658512485	-14.24627632	Endothelial_mouse
12.96308268	-6.149394453	Endothelial_mouse
-0.706360745	4.002393067	Endothelial_mouse
2.656790865	3.53933984	Endothelial_mouse
12.10793914	-6.348762453	Endothelial_mouse
2.408046854	3.585868656	Endothelial_mouse
9.757707012	5.476311266	Endothelial_mouse
13.11587657	-6.024433077	Endothelial_mouse
3.166177166	-5.940573156	Endothelial_mouse
4.94453038	4.993334353	Endothelial_mouse
-3.135857451	-0.259680689	Endothelial_mouse
-0.37626605	0.314034596	Endothelial_mouse
6.084035289	-14.07886833	Endothelial_mouse
12.40178527	-6.217308939	Endothelial_mouse
1.893694055	-4.549714029	Endothelial_mouse
2.665208471	-5.468089044	Endothelial_mouse
3.532446277	5.540519297	Endothelial_mouse
3.485443723	3.345103085	Endothelial_mouse
10.09235705	2.079070389	Endothelial_mouse
0.583367837	0.33626911	Endothelial_mouse
1.132580292	-4.94328779	Endothelial_mouse
2.494116437	-5.355861605	Endothelial_mouse
-0.089927945	6.050644934	Endothelial_mouse
3.49568094	-5.929476679	Endothelial_mouse
5.030134571	4.989889204	Endothelial_mouse
6.256837738	-13.7321896	Endothelial_mouse
11.73928107	-5.929831922	Endothelial_mouse
13.51286258	-5.959064901	Endothelial_mouse
12.31181372	-6.25657934	Endothelial_mouse
-2.345700133	1.207719266	Endothelial_mouse
-2.891286719	-0.162235707	Endothelial_mouse
-1.386914241	0.888504982	Endothelial_mouse
4.281752479	-6.44931072	Endothelial_mouse
6.281882179	-13.68957752	Endothelial_mouse
-3.305382359	-0.602086246	Endothelial_mouse
5.042513263	-14.25282997	Endothelial_mouse
-2.731281388	-0.048072383	Endothelial_mouse
3.581712854	5.175168573	Endothelial_mouse
4.5301422	-12.97815651	Endothelial_mouse
2.686851394	6.218199789	Endothelial_mouse
12.94233836	-5.983017862	Endothelial_mouse
2.905364168	-13.75077003	Endothelial_mouse
-2.760563481	-0.32471481	Endothelial_mouse
13.67888583	-5.905865133	Endothelial_mouse
1.487489355	-4.513463915	Endothelial_mouse
12.37291373	-6.031532228	Endothelial_mouse
