Dim1,Dim2,Dataset
-1.974988172,-5.929839483,Stromal cell_Ccl11 high(Uterus)
-2.183018754,-6.084064832,Stromal cell_Ccl11 high(Uterus)
-1.776930163,-5.36226975,Stromal cell_Ccl11 high(Uterus)
-1.321633766,-5.917642465,Stromal cell_Ccl11 high(Uterus)
-1.948660324,-6.058243623,Stromal cell_Ccl11 high(Uterus)
-1.579169462,-6.134689679,Stromal cell_Ccl11 high(Uterus)
-0.448664117,-6.506631723,Stromal cell_Ccl11 high(Uterus)
-1.08750237,-6.238027921,Stromal cell_Ccl11 high(Uterus)
-2.116913269,-5.988757959,Stromal cell_Ccl11 high(Uterus)
-1.871735642,-6.269086709,Stromal cell_Ccl11 high(Uterus)
-1.818459819,-5.640920034,Stromal cell_Ccl11 high(Uterus)
-1.941894601,-5.698243013,Stromal cell_Ccl11 high(Uterus)
-1.274374435,-6.142017236,Stromal cell_Ccl11 high(Uterus)
-1.353904913,-5.539583555,Stromal cell_Ccl11 high(Uterus)
-1.769761274,-6.056612363,Stromal cell_Ccl11 high(Uterus)
-1.403988848,-6.279971948,Stromal cell_Ccl11 high(Uterus)
-1.49508507,-5.11274468,Stromal cell_Ccl11 high(Uterus)
-1.522435734,-5.712261548,Stromal cell_Ccl11 high(Uterus)
-1.59429879,-5.921441427,Stromal cell_Ccl11 high(Uterus)
-1.897967289,-5.793037763,Stromal cell_Ccl11 high(Uterus)
-1.006325314,-4.100845208,Stromal cell_Ccl11 high(Uterus)
-1.801462958,-5.861924997,Stromal cell_Ccl11 high(Uterus)
-1.753881524,-5.875219217,Stromal cell_Ccl11 high(Uterus)
-1.773185084,-6.108097902,Stromal cell_Ccl11 high(Uterus)
-1.772904108,-6.008267751,Stromal cell_Ccl11 high(Uterus)
2.461816599,-4.687099805,Endothelial cell_Tm4sf1 high(Uterus)
2.734278967,-4.61573874,Endothelial cell_Tm4sf1 high(Uterus)
-0.556679557,-4.491850725,Endothelial cell_Tm4sf1 high(Uterus)
3.739810993,-3.947113386,Endothelial cell_Tm4sf1 high(Uterus)
2.760436585,-4.112560621,Endothelial cell_Tm4sf1 high(Uterus)
3.963343193,-3.106419912,Endothelial cell_Tm4sf1 high(Uterus)
3.517536928,-4.074665418,Endothelial cell_Tm4sf1 high(Uterus)
3.388955405,-4.134411683,Endothelial cell_Tm4sf1 high(Uterus)
3.456518938,-4.226845613,Endothelial cell_Tm4sf1 high(Uterus)
1.590183546,-3.761121383,Endothelial cell_Tm4sf1 high(Uterus)
3.595085671,-4.216105333,Endothelial cell_Tm4sf1 high(Uterus)
-0.895829538,-2.974708429,Endothelial cell_Tm4sf1 high(Uterus)
2.178135922,-3.939226022,Endothelial cell_Tm4sf1 high(Uterus)
1.88358288,-4.060562005,Endothelial cell_Tm4sf1 high(Uterus)
3.740021756,-4.092363706,Endothelial cell_Tm4sf1 high(Uterus)
3.099309971,-4.258741727,Endothelial cell_Tm4sf1 high(Uterus)
3.329361489,-4.275742402,Endothelial cell_Tm4sf1 high(Uterus)
1.781267454,-4.001057973,Endothelial cell_Tm4sf1 high(Uterus)
2.152995636,-4.174542299,Endothelial cell_Tm4sf1 high(Uterus)
