Dim1,Dim2,Dataset
4.443663163,7.716310421,Stromal cell_Ccl11 high(Uterus)
4.376106305,8.224720875,Stromal cell_Ccl11 high(Uterus)
4.670987172,8.552227894,Stromal cell_Ccl11 high(Uterus)
4.58555655,8.150610843,Stromal cell_Ccl11 high(Uterus)
4.195764584,8.20366756,Stromal cell_Ccl11 high(Uterus)
4.197976155,7.884318271,Stromal cell_Ccl11 high(Uterus)
4.384499116,8.449561039,Stromal cell_Ccl11 high(Uterus)
4.778974099,8.32017223,Stromal cell_Ccl11 high(Uterus)
5.406105561,8.685342708,Stromal cell_Ccl11 high(Uterus)
4.219649357,8.176366726,Stromal cell_Ccl11 high(Uterus)
4.201614899,7.790777126,Stromal cell_Ccl11 high(Uterus)
4.404252095,8.273262897,Stromal cell_Ccl11 high(Uterus)
4.772095246,8.582389751,Stromal cell_Ccl11 high(Uterus)
4.174730343,8.077206531,Stromal cell_Ccl11 high(Uterus)
4.237127347,8.213707844,Stromal cell_Ccl11 high(Uterus)
0.383478356,4.016492763,Endothelial cell_Tm4sf1 high(Uterus)
0.09080371,3.859776417,Endothelial cell_Tm4sf1 high(Uterus)
5.937686009,7.398348251,Endothelial cell_Tm4sf1 high(Uterus)
0.172359047,3.973083893,Endothelial cell_Tm4sf1 high(Uterus)
0.134684993,3.950275341,Endothelial cell_Tm4sf1 high(Uterus)
-1.443701702,-1.614274105,Endothelial cell_Tm4sf1 high(Uterus)
0.320025159,3.74933044,Endothelial cell_Tm4sf1 high(Uterus)
0.101674063,3.737012783,Endothelial cell_Tm4sf1 high(Uterus)
0.202888174,3.777542511,Endothelial cell_Tm4sf1 high(Uterus)
0.118104426,3.592413822,Endothelial cell_Tm4sf1 high(Uterus)
0.20271383,3.91268436,Endothelial cell_Tm4sf1 high(Uterus)
6.628270669,5.989423672,Endothelial cell_Tm4sf1 high(Uterus)
0.139945609,3.955153385,Endothelial cell_Tm4sf1 high(Uterus)
0.602031989,3.984000603,Endothelial cell_Tm4sf1 high(Uterus)
-0.155177186,3.239832083,Endothelial cell_Tm4sf1 high(Uterus)
0.266260428,3.890697876,Endothelial cell_Tm4sf1 high(Uterus)
0.007511174,4.043951431,Endothelial cell_Tm4sf1 high(Uterus)
0.080270795,4.070453564,Endothelial cell_Tm4sf1 high(Uterus)
0.300239576,4.02365152,Endothelial cell_Tm4sf1 high(Uterus)
0.418466223,4.155868927,Endothelial cell_Tm4sf1 high(Uterus)
0.532552881,4.121667305,Endothelial cell_Tm4sf1 high(Uterus)
0.929898901,4.264277378,Endothelial cell_Tm4sf1 high(Uterus)
1.033850116,4.244203964,Endothelial cell_Tm4sf1 high(Uterus)
0.056196345,3.897783199,Endothelial cell_Tm4sf1 high(Uterus)
0.195124222,3.925562778,Endothelial cell_Tm4sf1 high(Uterus)
1.102451725,4.320793548,Endothelial cell_Tm4sf1 high(Uterus)
0.666436536,4.120194832,Endothelial cell_Tm4sf1 high(Uterus)
0.409697426,3.994625488,Endothelial cell_Tm4sf1 high(Uterus)
0.078792764,3.669039646,Endothelial cell_Tm4sf1 high(Uterus)
0.738905472,4.125065723,Endothelial cell_Tm4sf1 high(Uterus)
0.190142987,3.740204731,Endothelial cell_Tm4sf1 high(Uterus)
-0.070881148,4.168493191,Endothelial cell_Tm4sf1 high(Uterus)
0.101500047,4.10255138,Endothelial cell_Tm4sf1 high(Uterus)
0.353925658,3.871928612,Endothelial cell_Tm4sf1 high(Uterus)
0.199814213,3.92358295,Endothelial cell_Tm4sf1 high(Uterus)
0.264858139,4.035128513,Endothelial cell_Tm4sf1 high(Uterus)
1.246131463,4.333379188,Endothelial cell_Tm4sf1 high(Uterus)
0.322201563,3.831600586,Endothelial cell_Tm4sf1 high(Uterus)
0.315127743,3.851649204,Endothelial cell_Tm4sf1 high(Uterus)
-0.400580632,4.186220089,Endothelial cell_Tm4sf1 high(Uterus)
0.310114724,4.065466801,Endothelial cell_Tm4sf1 high(Uterus)
0.169641656,4.014147678,Endothelial cell_Tm4sf1 high(Uterus)
-0.132481033,4.213617721,Endothelial cell_Tm4sf1 high(Uterus)
0.084471969,3.910581985,Endothelial cell_Tm4sf1 high(Uterus)
0.506842179,3.923348823,Endothelial cell_Tm4sf1 high(Uterus)
0.383916033,3.995664516,Endothelial cell_Tm4sf1 high(Uterus)
0.395424617,4.036655346,Endothelial cell_Tm4sf1 high(Uterus)
-1.186736303,-0.268822769,Endothelial cell_Tm4sf1 high(Uterus)
0.173604993,4.211408058,Endothelial cell_Tm4sf1 high(Uterus)
0.265681041,3.842287937,Endothelial cell_Tm4sf1 high(Uterus)
4.130626721,7.852054516,Stromal cell_Hsd11b2 high(Uterus)
4.206512017,8.057522693,Stromal cell_Hsd11b2 high(Uterus)
4.687537713,7.942020336,Stromal cell_Hsd11b2 high(Uterus)
5.290505929,8.172859112,Stromal cell_Hsd11b2 high(Uterus)
4.151073498,8.099948803,Stromal cell_Hsd11b2 high(Uterus)
4.276037259,8.201739231,Stromal cell_Hsd11b2 high(Uterus)
4.510153813,7.652882019,Stromal cell_Hsd11b2 high(Uterus)
4.076218171,7.857503811,Stromal cell_Hsd11b2 high(Uterus)
5.265262646,8.750997463,Stromal cell_Hsd11b2 high(Uterus)
5.468373341,8.373597065,Stromal cell_Hsd11b2 high(Uterus)
4.45503859,8.392895618,Stromal cell_Hsd11b2 high(Uterus)
4.031881375,8.041913906,Stromal cell_Hsd11b2 high(Uterus)
5.078259034,8.013780514,Stromal cell_Hsd11b2 high(Uterus)
4.5380588,8.406891743,Stromal cell_Hsd11b2 high(Uterus)
5.303515954,8.403737942,Stromal cell_Hsd11b2 high(Uterus)
4.28430943,7.862272182,Stromal cell_Hsd11b2 high(Uterus)
4.042482895,7.903242031,Stromal cell_Hsd11b2 high(Uterus)
4.499616189,8.399820247,Stromal cell_Hsd11b2 high(Uterus)
4.753767056,8.402157703,Stromal cell_Hsd11b2 high(Uterus)
4.336318059,8.176187435,Stromal cell_Hsd11b2 high(Uterus)
4.360342545,8.118953625,Stromal cell_Hsd11b2 high(Uterus)
6.389744324,7.894310871,Stromal cell_Hsd11b2 high(Uterus)
4.541539235,8.467769543,Stromal cell_Hsd11b2 high(Uterus)
4.51668982,7.586359897,Stromal cell_Hsd11b2 high(Uterus)
5.346366925,8.539784351,Stromal cell_Hsd11b2 high(Uterus)
4.355124993,8.282022396,Stromal cell_Hsd11b2 high(Uterus)
4.195217652,7.909455219,Stromal cell_Hsd11b2 high(Uterus)
4.683313889,7.922941128,Stromal cell_Hsd11b2 high(Uterus)
4.333376927,7.91554443,Stromal cell_Hsd11b2 high(Uterus)
4.131382508,8.071398655,Stromal cell_Hsd11b2 high(Uterus)
4.163017792,7.963795582,Stromal cell_Hsd11b2 high(Uterus)
4.247142357,8.321149746,Stromal cell_Hsd11b2 high(Uterus)
4.166685147,7.870700756,Stromal cell_Hsd11b2 high(Uterus)
4.934185071,8.292757908,Stromal cell_Hsd11b2 high(Uterus)
4.328145547,7.868148723,Stromal cell_Hsd11b2 high(Uterus)
4.607660336,8.418174663,Stromal cell_Hsd11b2 high(Uterus)
5.128637833,8.243469158,Stromal cell_Hsd11b2 high(Uterus)
4.61929564,8.478341976,Stromal cell_Hsd11b2 high(Uterus)
5.52820496,8.878955761,Stromal cell_Hsd11b2 high(Uterus)
4.787310166,8.44045631,Stromal cell_Hsd11b2 high(Uterus)
4.321614308,8.183185497,Stromal cell_Hsd11b2 high(Uterus)
5.557904763,8.991325298,Stromal cell_Hsd11b2 high(Uterus)
4.027611298,7.710479656,Stromal cell_Hsd11b2 high(Uterus)
5.107062859,8.6854314,Stromal cell_Hsd11b2 high(Uterus)
4.088303132,7.881025234,Stromal cell_Hsd11b2 high(Uterus)
4.526571316,8.448115269,Stromal cell_Hsd11b2 high(Uterus)
5.119250817,8.139159122,Stromal cell_Hsd11b2 high(Uterus)
3.917728705,7.849107662,Stromal cell_Hsd11b2 high(Uterus)
5.166321797,8.162664333,Stromal cell_Hsd11b2 high(Uterus)
5.948752446,8.59002296,Stromal cell_Hsd11b2 high(Uterus)
4.412050767,8.07543079,Stromal cell_Has1 high(Uterus)
4.104405446,7.666266361,Stromal cell_Has1 high(Uterus)
4.423814339,7.732498089,Stromal cell_Has1 high(Uterus)
4.370579285,8.20067493,Stromal cell_Has1 high(Uterus)
4.362825436,7.714419285,Stromal cell_Has1 high(Uterus)
5.296703858,8.748451153,Stromal cell_Has1 high(Uterus)
4.204517407,8.202634731,Stromal cell_Has1 high(Uterus)
4.226657433,7.844686428,Stromal cell_Has1 high(Uterus)
4.186296029,7.874836841,Stromal cell_Has1 high(Uterus)
4.720396084,8.213629642,Stromal cell_Has1 high(Uterus)
4.190802617,7.443740288,Stromal cell_Has1 high(Uterus)
4.654529137,7.850201526,Stromal cell_Has1 high(Uterus)
4.641778512,7.787587086,Stromal cell_Has1 high(Uterus)
4.257382912,7.702374378,Stromal cell_Has1 high(Uterus)
4.739295048,7.832299152,Stromal cell_Has1 high(Uterus)
4.18490128,8.120174328,Stromal cell_Has1 high(Uterus)
4.444301648,8.308346668,Stromal cell_Has1 high(Uterus)
4.08016972,7.960195461,Stromal cell_Has1 high(Uterus)
5.461327118,8.953411022,Stromal cell_Has1 high(Uterus)
4.207923455,7.73543922,Stromal cell_Has1 high(Uterus)
4.569414658,8.078205028,Stromal cell_Has1 high(Uterus)
4.846863789,7.973574558,Stromal cell_Has1 high(Uterus)
4.27232079,7.744069973,Stromal cell_Has1 high(Uterus)
4.423435731,7.989211956,Stromal cell_Has1 high(Uterus)
4.258676571,8.000546375,Stromal cell_Has1 high(Uterus)
6.064939541,6.996564308,Stromal cell_Has1 high(Uterus)
6.22361998,5.567354599,Stromal cell_Has1 high(Uterus)
4.511122269,7.541969696,Stromal cell_Has1 high(Uterus)
4.375320477,7.340033451,Stromal cell_Has1 high(Uterus)
4.190646214,7.982081333,Stromal cell_Has1 high(Uterus)
4.525216145,7.505599418,Stromal cell_Has1 high(Uterus)
4.195914788,7.815991321,Stromal cell_Has1 high(Uterus)
4.179728551,8.003196636,Stromal cell_Has1 high(Uterus)
4.30649857,8.234506527,Stromal cell_Has1 high(Uterus)
5.90205626,8.872146526,Stromal cell_Has1 high(Uterus)
4.410209698,7.972728649,Stromal cell_Has1 high(Uterus)
4.425067944,8.034043232,Stromal cell_Has1 high(Uterus)
4.182829423,8.00216476,Stromal cell_Has1 high(Uterus)
4.633802933,8.29507629,Stromal cell_Has1 high(Uterus)
4.086078209,7.852636257,Stromal cell_Has1 high(Uterus)
4.949895901,7.37164537,Stromal cell_Has1 high(Uterus)
4.230075402,7.658066192,Stromal cell_Has1 high(Uterus)
4.406141324,7.818212429,Stromal cell_Has1 high(Uterus)
4.391679329,7.929246822,Stromal cell_Has1 high(Uterus)
4.689648194,7.72683231,Stromal cell_Has1 high(Uterus)
3.986994786,7.753473202,Stromal cell_Has1 high(Uterus)
5.329710526,8.841417232,Stromal cell_Has1 high(Uterus)
4.126072926,7.617278496,Stromal cell_Has1 high(Uterus)
4.312084717,8.262274662,Stromal cell_Has1 high(Uterus)
4.525198502,8.24372665,Stromal cell_Has1 high(Uterus)
-2.769446807,1.924061457,Glandular epithelium_Sprr2f high(Uterus)
-3.021842676,1.941064277,Glandular epithelium_Sprr2f high(Uterus)
-3.415123659,2.132589022,Glandular epithelium_Sprr2f high(Uterus)
-3.486871915,1.51075677,Glandular epithelium_Sprr2f high(Uterus)
-2.417388397,1.640949527,Glandular epithelium_Sprr2f high(Uterus)
-3.310960012,1.665437856,Glandular epithelium_Sprr2f high(Uterus)
-3.179357486,2.677415529,Glandular epithelium_Sprr2f high(Uterus)
-3.781720834,1.941268125,Glandular epithelium_Sprr2f high(Uterus)
-3.846976238,2.020973364,Glandular epithelium_Sprr2f high(Uterus)
-3.478481489,1.669382134,Glandular epithelium_Sprr2f high(Uterus)
-3.240707832,1.708959976,Glandular epithelium_Sprr2f high(Uterus)
-3.652593093,1.961143175,Glandular epithelium_Sprr2f high(Uterus)
-3.476606088,1.901685634,Glandular epithelium_Sprr2f high(Uterus)
-2.620721059,1.580129305,Glandular epithelium_Sprr2f high(Uterus)
-3.098515706,1.465634504,Glandular epithelium_Sprr2f high(Uterus)
-3.313995557,1.729800144,Glandular epithelium_Sprr2f high(Uterus)
-3.585474925,1.903214136,Glandular epithelium_Sprr2f high(Uterus)
-3.315668064,1.483118692,Glandular epithelium_Sprr2f high(Uterus)
-3.247500616,1.64550654,Glandular epithelium_Sprr2f high(Uterus)
-3.35267015,1.764036814,Glandular epithelium_Sprr2f high(Uterus)
-3.915663677,2.092583338,Glandular epithelium_Sprr2f high(Uterus)
-3.203717904,1.691800633,Glandular epithelium_Sprr2f high(Uterus)
-3.169406848,1.561929861,Glandular epithelium_Sprr2f high(Uterus)
-4.015759902,2.255487123,Glandular epithelium_Sprr2f high(Uterus)
-3.306066471,1.64078621,Glandular epithelium_Sprr2f high(Uterus)
-3.217613655,1.601396004,Glandular epithelium_Sprr2f high(Uterus)
5.531854672,-4.991523823,Glandular epithelium_Sprr2f high(Uterus)
-3.426389175,1.903021255,Glandular epithelium_Sprr2f high(Uterus)
-3.622579294,2.0293502,Glandular epithelium_Sprr2f high(Uterus)
-3.229855733,1.717761675,Glandular epithelium_Sprr2f high(Uterus)
-3.311177926,1.672034541,Glandular epithelium_Sprr2f high(Uterus)
-4.258832412,2.18176643,Glandular epithelium_Sprr2f high(Uterus)
-3.262116628,1.649731794,Glandular epithelium_Sprr2f high(Uterus)
-3.390661197,1.610782901,Glandular epithelium_Sprr2f high(Uterus)
-3.882877069,2.459171215,Glandular epithelium_Sprr2f high(Uterus)
-3.269772249,1.691400686,Glandular epithelium_Sprr2f high(Uterus)
-3.667185264,2.106972614,Glandular epithelium_Sprr2f high(Uterus)
-3.586378055,1.78536121,Glandular epithelium_Sprr2f high(Uterus)
-3.223808961,1.680089632,Glandular epithelium_Sprr2f high(Uterus)
-3.163693147,1.575874725,Glandular epithelium_Sprr2f high(Uterus)
-3.189311462,1.625420371,Glandular epithelium_Sprr2f high(Uterus)
-4.050488906,2.201859394,Glandular epithelium_Sprr2f high(Uterus)
-3.327393012,1.870120683,Glandular epithelium_Sprr2f high(Uterus)
-3.539966064,1.839014927,Glandular epithelium_Sprr2f high(Uterus)
