a,TSNE_1,TSNE_2,X,
105,X0.20,-7.928863988,-11.58907802,Spermatids_Tnp1high(Testis)
106,X1.19,-8.932970045,-12.62433617,Spermatids_Tnp1high(Testis)
107,X13.19,-9.130802333,-12.09341131,Spermatids_Tnp1high(Testis)
108,V5579,-9.044303641,-12.34469851,macrophage_mouse
109,X21.19,-9.05811542,-12.3377444,Spermatids_Tnp1high(Testis)
110,X24.19,-8.985371101,-12.42511093,Spermatids_Tnp1high(Testis)
111,X31.19,-9.154504802,-12.37569899,Spermatids_Tnp1high(Testis)
112,X18.20,-8.720568268,-10.92686773,Spermatocyte_Mesp1high(Testis)
113,X0.22,-9.024271426,-12.46451435,Spermatids_Cst13high(Testis)
114,X1.21,-8.970905363,-12.33570233,Spermatids_Cst13high(Testis)
115,X2.21,-8.929688672,-12.39518455,Spermatids_Cst13high(Testis)
116,X7.21,-8.94700641,-12.41744465,Spermatids_Cst13high(Testis)
117,X9.21,-8.926175537,-12.46357539,Spermatids_Cst13high(Testis)
118,X22.21,-9.183838655,-12.42942095,Spermatids_Cst13high(Testis)
119,X24.21,-9.230028517,-11.95656426,Spermatids_Cst13high(Testis)
120,X35.21,-8.986907604,-12.40030746,Spermatids_Cst13high(Testis)
121,X38.21,-8.97338833,-12.46963382,Spermatids_Cst13high(Testis)
122,X42.21,-8.969232605,-12.41946478,Spermatids_Cst13high(Testis)
123,X48.21,-8.918035965,-12.39753841,Spermatids_Cst13high(Testis)
124,X33.22,-8.750249676,-12.60720065,Elongatingspermatid(Testis)
125,X19.23,-8.740516159,-12.56106623,Spermatogonia_1700001P01Rikhigh(Testis)
126,X20.23,-9.150486058,-12.40423881,Spermatogonia_1700001P01Rikhigh(Testis)
127,X25.23,-8.980128618,-12.18325294,Spermatogonia_1700001P01Rikhigh(Testis)
128,X30.24,-8.30335934,1.867831694,Dividingcell(Stomach)
129,V3919,-8.533845437,3.128192434,macrophage_mouse
130,X44.24,-8.779294328,2.662363268,Dividingcell(Stomach)
131,V3617,-7.70961815,3.030858797,macrophage_mouse
132,X4.26,-7.891037176,2.948595116,Epithelialcell_Krt20high(Stomach)
133,X5.26,-8.600447096,3.479134448,Epithelialcell_Krt20high(Stomach)
134,V2282,-8.73313094,3.536979786,macrophage_mouse
135,V3360,-8.942716877,4.16584262,macrophage_mouse
136,V4282,-8.452474265,3.364989426,macrophage_mouse
