,0,1,
132,-25.311218,57.83545,Human-Ex Neuron
133,-25.999884,58.24562,Human-Ex Neuron
134,-25.659199,57.70208,Human-Ex Neuron
135,-25.846045,57.64831,Human-Ex Neuron
136,-26.040638,57.588535,Human-Ex Neuron
137,-26.020452,57.364544,Human-Ex Neuron
138,-26.724644,57.659603,Human-Ex Neuron
139,-26.489813,57.3447,Human-Ex Neuron
140,-26.987738,57.48053,Human-Ex Neuron
141,-26.290098,56.535675,Human-Ex Neuron
142,-27.280756,57.340473,Human-Ex Neuron
143,-27.140173,56.89766,Human-Ex Neuron
144,-26.415785,56.055866,Human-Ex Neuron
145,-27.711254,57.12356,Human-Ex Neuron
146,-27.74498,56.71959,Human-Ex Neuron
147,-27.931076,56.938374,Human-Ex Neuron
148,-28.023586,56.293186,Human-Ex Neuron
149,-28.247612,56.755653,Human-Ex Neuron
150,-28.406351,56.431576,Human-Ex Neuron
151,-28.510607,56.074608,Human-Ex Neuron
152,-28.716831,56.22489,Human-Ex Neuron
153,-28.860245,56.093987,Human-Ex Neuron
154,-28.991652,55.900906,Human-Ex Neuron
155,-29.210415,56.062294,Human-Ex Neuron
156,-29.303284,55.74387,Human-Ex Neuron
157,-29.606682,56.133343,Human-Ex Neuron
158,-29.507753,55.355324,Human-Ex Neuron
159,-29.788553,55.524685,Human-Ex Neuron
160,-30.043,55.74505,Human-Ex Neuron
161,-30.190186,55.550125,Human-Ex Neuron
162,-30.359287,55.480827,Human-Ex Neuron
163,-30.389654,55.12627,Human-Ex Neuron
164,-30.64457,55.17388,Human-Ex Neuron
165,-30.736286,55.013657,Human-Ex Neuron
166,-30.97769,55.057453,Human-Ex Neuron
167,-31.107151,54.942184,Human-Ex Neuron
168,-31.349379,54.90546,Human-Ex Neuron
169,-31.51724,54.7861,Human-Ex Neuron
170,-31.580229,54.63667,Human-Ex Neuron
171,-31.83776,54.572266,Human-Ex Neuron
172,-32.190258,54.692623,Human-Ex Neuron
173,-32.353855,54.64642,Human-Ex Neuron
174,-32.49378,54.57327,Human-Ex Neuron
175,-32.39679,54.0794,Human-Ex Neuron
176,-32.657784,54.107525,Human-Ex Neuron
177,-32.80783,53.931347,Human-Ex Neuron
178,-33.028915,54.061813,Human-Ex Neuron
179,-33.16952,53.81257,Human-Ex Neuron
180,-33.441967,54.312893,Human-Ex Neuron
181,-33.518288,53.502914,Human-Ex Neuron
182,-33.70819,53.93607,Human-Ex Neuron
183,-33.87391,53.400932,Human-Ex Neuron
184,-34.026855,54.030518,Human-Ex Neuron
185,-34.210766,53.39365,Human-Ex Neuron
186,-34.45474,53.068455,Human-Ex Neuron
187,-34.51592,53.463802,Human-Ex Neuron
188,-34.750275,53.169647,Human-Ex Neuron
189,-34.882164,53.31706,Human-Ex Neuron
190,-35.12811,52.562366,Human-Ex Neuron
191,-35.26845,52.846012,Human-Ex Neuron
192,-35.438763,52.917503,Human-Ex Neuron
193,-35.594845,52.720722,Human-Ex Neuron
194,-35.678955,52.344074,Human-Ex Neuron
195,-35.947575,52.579742,Human-Ex Neuron
196,-36.124996,52.578144,Human-Ex Neuron
197,-36.669655,52.93598,Human-Ex Neuron
198,-36.367012,52.290718,Human-Ex Neuron
199,-36.70395,52.387184,Human-Ex Neuron
200,-36.656685,52.067444,Human-Ex Neuron
201,-36.60822,51.757084,Human-Ex Neuron
202,-37.412426,52.38282,Human-Ex Neuron
203,-37.189243,51.835934,Human-Ex Neuron
204,-37.38397,51.791958,Human-Ex Neuron
205,-37.485477,51.659092,Human-Ex Neuron
206,-37.98319,51.892746,Human-Ex Neuron
207,-38.061264,51.704727,Human-Ex Neuron
208,-38.140617,51.50146,Human-Ex Neuron
209,-38.244747,51.35179,Human-Ex Neuron
210,-38.520317,51.444275,Human-Ex Neuron
211,-38.665096,51.32924,Human-Ex Neuron
212,-38.76064,51.10974,Human-Ex Neuron
213,-38.90377,50.983147,Human-Ex Neuron
214,-38.994602,50.758804,Human-Ex Neuron
215,-39.54186,51.316406,Human-Ex Neuron
216,-39.37949,50.706512,Human-Ex Neuron
217,-39.689274,50.864872,Human-Ex Neuron
218,-39.723743,50.574425,Human-Ex Neuron
219,-39.87541,50.451782,Human-Ex Neuron
220,-39.998383,50.311905,Human-Ex Neuron
221,-40.139095,50.210865,Human-Ex Neuron
222,-40.514908,50.407375,Human-Ex Neuron
223,-40.499985,50.064304,Human-Ex Neuron
224,-40.604504,49.866833,Human-Ex Neuron
225,-41.00936,50.25393,Human-Ex Neuron
226,-40.947086,49.72369,Human-Ex Neuron
227,-41.32768,50.18549,Human-Ex Neuron
228,-41.258564,49.544415,Human-Ex Neuron
229,-41.41665,49.41506,Human-Ex Neuron
230,-41.558334,49.303635,Human-Ex Neuron
231,-41.73333,49.227753,Human-Ex Neuron
232,-41.896812,49.157276,Human-Ex Neuron
233,-42.048393,49.03506,Human-Ex Neuron
234,-42.149284,48.941544,Human-Ex Neuron
235,-41.931595,48.568874,Human-Ex Neuron
236,-42.404232,48.692596,Human-Ex Neuron
237,-42.584282,48.573788,Human-Ex Neuron
238,-43.101337,48.416294,Human-Ex Neuron
239,-43.49228,48.379417,Human-Ex Neuron
240,-43.229626,48.161114,Human-Ex Neuron
