,0,1,
0,-13.675133,-44.84473,Human-Ex Neuron
1,30.381128,-70.4051,Human-Ex Neuron
2,18.831974,-79.96987,Human-Ex Neuron
3,-8.1482725,-39.640884,Human-Ex Neuron
4,17.50336,-78.69506,Human-Ex Neuron
5,32.75432,-66.77289,Human-Ex Neuron
6,-34.75082,-56.85557,Human-Ex Neuron
7,-1.1500757,-73.32633,Human-Ex Neuron
8,-16.420864,-53.46214,Human-Ex Neuron
9,0.31340978,-43.092834,Human-Ex Neuron
10,0.81166935,-76.95895,Human-Ex Neuron
11,-0.67072564,-66.90346,Human-Ex Neuron
12,32.74352,-63.64825,Human-Ex Neuron
13,-13.74673,-44.687263,Human-Ex Neuron
14,-37.087234,-55.451176,Human-Ex Neuron
15,32.85826,-66.56736,Human-Ex Neuron
16,-1.656223,-68.96065,Human-Ex Neuron
17,-20.803621,-57.636993,Human-Ex Neuron
18,-33.36144,-57.488995,Human-Ex Neuron
19,1.3247768,-77.54562,Human-Ex Neuron
20,31.800133,-66.48817,Human-Ex Neuron
21,3.9685974,-79.6631,Human-Ex Neuron
22,25.994663,-75.69229,Human-Ex Neuron
23,-1.5325464,-71.0517,Human-Ex Neuron
24,29.961857,-70.53207,Human-Ex Neuron
25,33.116093,-66.004265,Human-Ex Neuron
26,16.554344,-50.382256,Human-Ex Neuron
27,6.793631,-48.028793,Human-Ex Neuron
28,30.80009,-53.024323,Human-Ex Neuron
29,-46.81295,-50.54718,Human-Ex Neuron
30,11.523348,-49.59779,Human-Ex Neuron
31,21.417887,-50.854614,Human-Ex Neuron
32,21.977566,-50.809086,Human-Ex Neuron
33,5.4660196,-47.28503,Human-Ex Neuron
34,3.594159,-79.363716,Human-Ex Neuron
35,-47.205418,-49.234684,Human-Ex Neuron
36,-44.024025,-52.124477,Human-Ex Neuron
37,-7.423872,-40.343098,Human-Ex Neuron
38,3.1032083,-44.702442,Human-Ex Neuron
39,-45.615982,-51.404232,Human-Ex Neuron
40,-17.163263,-54.822998,Human-Ex Neuron
41,33.675957,-64.04687,Human-Ex Neuron
42,-12.935488,-44.73282,Human-Ex Neuron
43,20.874664,-50.14922,Human-Ex Neuron
44,3.9409513,-79.583885,Human-Ex Neuron
45,-17.836403,-52.829674,Human-Ex Neuron
46,-35.748734,-56.560444,Human-Ex Neuron
47,-21.67332,-58.49741,Human-Ex Neuron
48,-15.796792,-50.005417,Human-Ex Neuron
49,-25.751425,-59.277534,Human-Ex Neuron
50,-23.53313,-58.708187,Human-Ex Neuron
51,15.92567,-50.435566,Human-Ex Neuron
52,-21.307573,-57.899864,Human-Ex Neuron
53,-1.7378105,-68.65609,Human-Ex Neuron
54,26.894474,-51.30305,Human-Ex Neuron
55,5.3261657,-46.038795,Human-Ex Neuron
56,13.504779,-81.10194,Human-Ex Neuron
57,33.62422,-63.434574,Human-Ex Neuron
58,28.652866,-51.8438,Human-Ex Neuron
59,14.867307,-80.8622,Human-Ex Neuron
60,23.444208,-52.077988,Human-Ex Neuron
61,-9.796553,-41.117928,Human-Ex Neuron
62,-17.905964,-54.59634,Human-Ex Neuron
63,-0.48425803,-66.371895,Human-Ex Neuron
64,-23.004704,-59.168903,Human-Ex Neuron
65,11.566433,-50.46605,Human-Ex Neuron
66,17.498108,-79.95083,Human-Ex Neuron
67,-43.55059,-52.970097,Human-Ex Neuron
68,-1.4760072,-68.39653,Human-Ex Neuron
69,12.632723,-50.055992,Human-Ex Neuron
70,13.857071,-50.42351,Human-Ex Neuron
71,-8.963234,-40.940853,Human-Ex Neuron
72,12.927927,-81.12312,Human-Ex Neuron
73,2.9453917,-44.968792,Human-Ex Neuron
74,16.64139,-80.4547,Human-Ex Neuron
75,28.110039,-72.605225,Human-Ex Neuron
76,31.264618,-54.521244,Human-Ex Neuron
77,33.825054,-60.634373,Human-Ex Neuron
78,-37.946297,-55.38131,Human-Ex Neuron
79,-32.543125,-57.710575,Human-Ex Neuron
80,2.9454837,-46.89647,Human-Ex Neuron
81,-21.068405,-57.518192,Human-Ex Neuron
82,33.464134,-59.78991,Human-Ex Neuron
83,32.890053,-57.732685,Human-Ex Neuron
