,X.comp1,Y.comp1,
119,-8.160546118,-0.079098619,Human-Ex Neuron
120,-7.363477634,-0.079098619,Human-Ex Neuron
121,-6.987766985,-0.079098619,Human-Ex Neuron
122,-4.299344147,-0.079098619,Human-Ex Neuron
123,-8.372874535,-0.079098619,Human-Ex Neuron
124,-8.30407937,-0.079098619,Human-Ex Neuron
125,-7.252830382,-0.079098619,Human-Ex Neuron
126,-8.451369686,-0.079098619,Human-Ex Neuron
127,-7.212473395,-0.079098619,Human-Ex Neuron
128,-1.027963717,-0.079098619,Human-Ex Neuron
129,-8.040806109,-0.079098619,Human-Ex Neuron
130,-5.883575322,-0.079098619,Human-Ex Neuron
131,-8.773756743,-0.079098619,Human-Ex Neuron
132,-12.91015035,-0.079098619,Human-Ex Neuron
133,-3.556853607,-0.079098619,Human-Ex Neuron
134,-4.374277891,-0.079098619,Human-Ex Neuron
135,-8.846842247,-0.079098619,Human-Ex Neuron
136,-5.590744735,-0.079098619,Human-Ex Neuron
137,-8.280552903,-0.079098619,Human-Ex Neuron
138,-7.014669978,-0.079098619,Human-Ex Neuron
139,-7.749597554,-0.079098619,Human-Ex Neuron
140,-7.436362116,-0.079098619,Human-Ex Neuron
141,-5.50107118,-0.079098619,Human-Ex Neuron
142,-8.615579971,-0.079098619,Human-Ex Neuron
143,-6.649120152,-0.079098619,Human-Ex Neuron
144,-8.614488204,-0.079098619,Human-Ex Neuron
145,0.244857006,-0.079098619,Human-Ex Neuron
146,-8.541644509,-0.079098619,Human-Ex Neuron
147,-7.760979339,-0.079098619,Human-Ex Neuron
148,3.664554447,-0.079098619,Human-Ex Neuron
149,-8.170585913,-0.079098619,Human-Ex Neuron
150,-7.498093853,-0.079098619,Human-Ex Neuron
151,-8.500836486,-0.079098619,Human-Ex Neuron
152,-4.279603926,-0.079098619,Human-Ex Neuron
153,-9.000042646,-0.079098619,Human-Ex Neuron
154,-7.041395249,-0.079098619,Human-Ex Neuron
155,-6.898216374,-0.079098619,Human-Ex Neuron
156,-7.940290704,-0.079098619,Human-Ex Neuron
157,-7.461822294,-0.079098619,Human-Ex Neuron
158,-6.888941104,-0.079098619,Human-Ex Neuron
159,-6.113350736,-0.079098619,Human-Ex Neuron
160,-8.967867814,-0.079098619,Human-Ex Neuron
161,-5.594060518,-0.079098619,Human-Ex Neuron
162,-8.390341565,-0.079098619,Human-Ex Neuron
163,-0.722737921,-0.079098619,Human-Ex Neuron
164,-5.674278942,-0.079098619,Human-Ex Neuron
165,-7.945572554,-0.079098619,Human-Ex Neuron
166,-7.656708247,-0.079098619,Human-Ex Neuron
167,-7.398308343,-0.079098619,Human-Ex Neuron
168,-4.642118351,-0.079098619,Human-Ex Neuron
169,-6.595654851,-0.079098619,Human-Ex Neuron
170,-5.451906003,-0.079098619,Human-Ex Neuron
171,-5.049931982,-0.079098619,Human-Ex Neuron
172,-7.452340762,-0.079098619,Human-Ex Neuron
173,-7.85876374,-0.079098619,Human-Ex Neuron
174,-7.664153039,-0.079098619,Human-Ex Neuron
175,-6.05592945,-0.079098619,Human-Ex Neuron
176,-7.327424978,-0.079098619,Human-Ex Neuron
177,-8.406108202,-0.079098619,Human-Ex Neuron
178,-8.821684269,-0.079098619,Human-Ex Neuron
179,-8.329651763,-0.079098619,Human-Ex Neuron
180,-4.95057268,-0.079098619,Human-Ex Neuron
181,-6.529723557,-0.079098619,Human-Ex Neuron
182,-4.365075381,-0.079098619,Human-Ex Neuron
183,-8.082894311,-0.079098619,Human-Ex Neuron
184,-6.935271133,-0.079098619,Human-Ex Neuron
185,-7.915930082,-0.079098619,Human-Ex Neuron
186,-5.659238172,-0.079098619,Human-Ex Neuron
187,-7.562066317,-0.079098619,Human-Ex Neuron
188,-5.293890833,-0.079098619,Human-Ex Neuron
189,-8.630004463,-0.079098619,Human-Ex Neuron
190,-7.5588894,-0.079098619,Human-Ex Neuron
191,-5.366548856,-0.079098619,Human-Ex Neuron
192,-7.228091003,-0.079098619,Human-Ex Neuron
193,-7.061149547,-0.079098619,Human-Ex Neuron
194,-6.557528761,-0.079098619,Human-Ex Neuron
195,0.14736493,-0.079098619,Human-Ex Neuron
196,-6.132277391,-0.079098619,Human-Ex Neuron
197,-6.470486137,-0.079098619,Human-Ex Neuron
198,-5.396328895,-0.079098619,Human-Ex Neuron
199,-8.961100195,-0.079098619,Human-Ex Neuron
200,2.898236168,-0.079098619,Human-Ex Neuron
201,-5.628700717,-0.079098619,Human-Ex Neuron
202,-7.073471158,-0.079098619,Human-Ex Neuron
203,-8.63663208,-0.079098619,Human-Ex Neuron
204,-3.462177504,-0.079098619,Human-Ex Neuron
205,-7.140501612,-0.079098619,Human-Ex Neuron
206,0.808152236,-0.079098619,Human-Ex Neuron
207,0.073596723,-0.079098619,Human-Ex Neuron
208,-7.977703006,-0.079098619,Human-Ex Neuron
209,-5.154220429,-0.079098619,Human-Ex Neuron
210,-3.092998406,-0.079098619,Human-Ex Neuron
211,-1.907615552,-0.079098619,Human-Ex Neuron
212,-8.126524089,-0.079098619,Human-Ex Neuron
213,-7.322128478,-0.079098619,Human-Ex Neuron
214,-6.754626834,-0.079098619,Human-Ex Neuron
215,-5.856904036,-0.079098619,Human-Ex Neuron
216,-7.845461082,-0.079098619,Human-Ex Neuron
217,-7.456259759,-0.079098619,Human-Ex Neuron
218,-7.078661695,-0.079098619,Human-Ex Neuron
219,-4.274886553,-0.079098619,Human-Ex Neuron
220,-2.901708715,-0.079098619,Human-Ex Neuron
221,-8.726793827,-0.079098619,Human-Ex Neuron
222,-8.721881882,-0.079098619,Human-Ex Neuron
223,-5.442413212,-0.079098619,Human-Ex Neuron
224,-8.707879907,-0.079098619,Human-Ex Neuron
225,-8.484932806,-0.079098619,Human-Ex Neuron
226,-4.981595495,-0.079098619,Human-Ex Neuron
227,-6.604267719,-0.079098619,Human-Ex Neuron
228,-5.451447058,-0.079098619,Human-Ex Neuron
229,-4.00692657,-0.079098619,Human-Ex Neuron
230,-8.195522094,-0.079098619,Human-Ex Neuron
231,-7.03141974,-0.079098619,Human-Ex Neuron
232,-6.546676911,-0.079098619,Human-Ex Neuron
233,-8.125741173,-0.079098619,Human-Ex Neuron
