,0,1,2,3,4,5,6,7,8,9
170,embryo 9,mouse 4-cell,Intermediate Mesoderm,2-cell embryo,Epithelial cells,embryo 9,Embryonic stem cell,Osteoblasts,Connective tissue progenitors,ES_Actb_high(Embryonic-Stem-Cell)
171,epiblast cell,embryo 10,2-cell embryo,Inhibitory neurons,Connective tissue progenitors,Mid blastocyst cell (92-94h post-fertilization),ES_Rps28_high(Embryonic-Stem-Cell),Epithelial cells,Inhibitory neurons,Embryonic stem cell
172,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell),Endothelial cells,epiblast cell,embryo 7,Excitatory neurons,2-cell stage blastomere,8-cell embryo,Intermediate Mesoderm,Embryonic stem cell
173,2-cell embryo,Excitatory neurons,Oligodendrocyte Progenitors,Excitatory neurons,epiblast cell,Embryonic stem cell,ES_Rps28_high(Embryonic-Stem-Cell),Early blastocyst cell (86-88h post-fertilization),embryo 14,Jaw and tooth progenitors
174,Inhibitory neurons,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,embryo 7,embryo 14,2-cell embryo,Connective tissue progenitors,Epithelial cells,Endothelial cells,Early blastocyst cell (86-88h post-fertilization)
175,Early blastocyst cell (86-88h post-fertilization),blastocyst,ES_Actb_high(Embryonic-Stem-Cell),Intermediate Mesoderm,Connective tissue progenitors,epiblast cell,embryo 10,Excitatory neurons,Embryonic stem cell,Postmitotic premature neurons
176,embryo 14,Intermediate Mesoderm,embryo 14,2-cell embryo,8-cell stage blastomere,Endothelial cells,Epithelial cells,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Inhibitory neurons
177,Inhibitory neurons,Embryonic stem cell,Excitatory neurons,epiblast cell,Excitatory neurons,Endothelial cells,ES_Rps28_high(Embryonic-Stem-Cell),Early blastocyst cell (86-88h post-fertilization),2-cell embryo,embryo 10
178,Definitive erythroid lineage,Embryonic stem cell,Connective tissue progenitors,ES_Actb_high(Embryonic-Stem-Cell),embryo 14,Connective tissue progenitors,2-cell embryo,,embryo 10,8-cell embryo
179,Endothelial cells,epiblast cell,Mid blastocyst cell (92-94h post-fertilization),ES_Actb_high(Embryonic-Stem-Cell),Endothelial cells,Intermediate Mesoderm,embryo 14,8-cell embryo,Embryonic stem cell,Epithelial cells
180,embryo 10,Embryonic stem cell,Epithelial cells,ES_Actb_high(Embryonic-Stem-Cell),Postmitotic premature neurons,Connective tissue progenitors,8-cell stage blastomere,4-cell embryo,Epithelial cells,embryo 14
181,Embryonic stem cell,ES_Actb_high(Embryonic-Stem-Cell),Excitatory neurons,Connective tissue progenitors,4-cell embryo,embryo 11,Connective tissue progenitors,Connective tissue progenitors,epiblast cell,mouse ES cell
182,Epithelial cells,Connective tissue progenitors,ES_Actb_high(Embryonic-Stem-Cell),embryo 7,Epithelial cells,epiblast cell,Excitatory neurons,Embryonic stem cell,2-cell embryo,16-cell stage blastomere
183,embryo 7,4-cell embryo,ES_Actb_high(Embryonic-Stem-Cell),Late 2-cell stage blastomere (46-48h post-fertilization),Osteoblasts,Excitatory neurons,Epithelial cells,epiblast cell,Embryonic stem cell,Epithelial cells
184,2-cell embryo,Epithelial cells,,embryo 14,Connective tissue progenitors,embryo 3,8-cell stage blastomere,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Definitive erythroid lineage
185,embryo 14,Late blastocyst cell (100-102h post-fertilization),epiblast cell,Endothelial cells,Endothelial cells,4-cell embryo,Epithelial cells,Embryonic stem cell,ES_Actb_high(Embryonic-Stem-Cell),Postmitotic premature neurons
186,ES_Rps28_high(Embryonic-Stem-Cell),Embryonic stem cell,embryo 10,ES cell,Endothelial cells,epiblast cell,morula,Epithelial cells,Postmitotic premature neurons,Connective tissue progenitors
187,embryo 14,epiblast cell,Postmitotic premature neurons,Embryonic stem cell,Mid blastocyst cell (92-94h post-fertilization),Epithelial cells,Excitatory neurons,ES_Rps28_high(Embryonic-Stem-Cell),2-cell embryo,Inhibitory neurons
188,Osteoblasts,Embryonic stem cell,Early blastocyst cell (86-88h post-fertilization),2-cell embryo,Excitatory neurons,embryo 14,epiblast cell,ES_Actb_high(Embryonic-Stem-Cell),Intermediate Mesoderm,Excitatory neurons
189,Embryonic stem cell,Connective tissue progenitors,Inhibitory neurons,Mid blastocyst cell (92-94h post-fertilization),Excitatory neurons,2-cell embryo,ES_Nedd4_high(Embryonic-Stem-Cell),embryo 10,embryo 7,Excitatory neurons
