,0,1,2,3,4,5,6,7,8,9
74,Embryonic stem cell,Excitatory neurons,Epithelial cells,epiblast cell,embryo 7,8-cell embryo,blastocyst,Connective tissue progenitors,Endothelial cells,ES_Actb_high(Embryonic-Stem-Cell)
75,ES_Actb_high(Embryonic-Stem-Cell),8-cell stage blastomere,Connective tissue progenitors,Embryonic stem cell,Jaw and tooth progenitors,Excitatory neurons,Excitatory neurons,embryo 10,2-cell embryo,epiblast cell
76,Connective tissue progenitors,Isthmic organizer cells,2-cell embryo,Excitatory neurons,embryo 10,ES_Rps28_high(Embryonic-Stem-Cell),8-cell embryo,embryo 7,Embryonic stem cell,Osteoblasts
77,Oligodendrocyte Progenitors,Postmitotic premature neurons,Late 2-cell stage blastomere (46-48h post-fertilization),Excitatory neurons,2-cell embryo,Embryonic stem cell,epiblast cell,ES_Actb_high(Embryonic-Stem-Cell),embryo 10,Connective tissue progenitors
78,embryo 10,embryo 14,Epithelial cells,Embryonic stem cell,Definitive erythroid lineage,Connective tissue progenitors,ES_Actb_high(Embryonic-Stem-Cell),2-cell embryo,8-cell stage blastomere,Endothelial cells
79,ES cell,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Inhibitory neurons,embryo 7,Connective tissue progenitors,epiblast cell,4-cell embryo,Epithelial cells
80,embryo 10,Connective tissue progenitors,Intermediate Mesoderm,embryo 7,4-cell stage blastomere,4-cell embryo,ES_Actb_high(Embryonic-Stem-Cell),Endothelial cells,Embryonic stem cell,Excitatory neurons
81,Postmitotic premature neurons,epiblast cell,Excitatory neurons,embryo 9,Embryonic stem cell,Excitatory neurons,Postmitotic premature neurons,mouse 4-cell,4-cell embryo,ES_Rps28_high(Embryonic-Stem-Cell)
82,ES_Rps28_high(Embryonic-Stem-Cell),embryo 14,epiblast cell,Postmitotic premature neurons,Excitatory neurons,Embryonic stem cell,Inhibitory neurons,Epithelial cells,16-cell stage blastomere,4-cell embryo
83,epiblast cell,Isthmic organizer cells,2-cell embryo,ES_Nedd4_high(Embryonic-Stem-Cell),Connective tissue progenitors,Postmitotic premature neurons,Embryonic stem cell,Osteoblasts,embryo 9,2-cell stage blastomere
84,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Epithelial cells,Mid blastocyst cell (92-94h post-fertilization),Postmitotic premature neurons,embryo 7,epiblast cell,Epithelial cells,4-cell embryo,Epithelial cells
85,Postmitotic premature neurons,Osteoblasts,Mid blastocyst cell (92-94h post-fertilization),ES_Actb_high(Embryonic-Stem-Cell),Postmitotic premature neurons,epiblast cell,embryo 9,Jaw and tooth progenitors,Embryonic stem cell,8-cell embryo
86,Osteoblasts,embryo 18,2-cell embryo,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Excitatory neurons,Late blastocyst cell (100-102h post-fertilization),embryo 7,Connective tissue progenitors
87,epiblast cell,2-cell embryo,Embryonic stem cell,Early blastocyst cell (86-88h post-fertilization),ES_Actb_high(Embryonic-Stem-Cell),Epithelial cells,Endothelial cells,embryo 7,Endothelial cells,Epithelial cells
