	0	1	X
0	11.4890375	-4.136528	rna
1	8.247212	26.129679	rna
2	20.699976	-9.799301	rna
3	10.782333	-3.7704506	rna
4	23.99872	-20.926764	rna
5	-8.352446	17.108206	rna
6	1.1716524	-1.0892185	rna
7	5.1777043	29.658573	rna
8	1.4712918	-0.7414152	rna
9	-6.5594873	19.891241	rna
10	10.946635	-3.4720528	rna
11	-8.262721	17.283388	rna
12	8.293798	25.405333	rna
13	4.76607	28.56789	rna
14	6.797314	27.983213	rna
15	16.502531	18.623991	rna
16	8.31216	25.49296	rna
17	3.590692	24.392275	rna
18	-2.1987982	29.373941	rna
19	8.369621	28.232586	rna
20	3.7058492	25.307222	rna
21	-8.627462	18.504496	rna
22	3.5064912	25.582783	rna
23	7.138535	27.607513	rna
24	10.888158	30.62787	rna
25	-8.080842	16.247484	rna
26	2.8127403	22.819372	rna
27	7.6439233	27.230427	rna
28	11.095974	-4.260262	rna
29	8.285633	30.185232	rna
30	16.977148	18.15213	rna
31	-1.7266561	28.724293	rna
32	0.1205945	0.34614146	rna
33	9.964232	27.960896	rna
34	-1.7465647	29.329868	rna
35	8.71164	25.279234	rna
36	3.9380577	23.56334	rna
37	17.327936	17.957958	rna
38	5.8865924	31.582317	rna
39	9.06034	25.821518	rna
40	17.410133	18.040558	rna
41	-15.215603	30.592426	rna
42	5.102009	28.569283	rna
43	18.827633	-12.05517	rna
44	8.329884	25.787899	rna
45	-7.5435066	18.949238	rna
46	27.801418	-11.503764	rna
47	17.023369	18.078852	rna
48	-3.4047728	16.103828	rna
49	-6.662968	19.705614	rna
50	14.859912	-68.71337	rna
51	11.584382	-69.65175	rna
52	-30.21685	-17.737326	rna
53	14.828431	-68.84192	rna
54	12.198918	-69.863686	rna
55	-30.356249	-18.993	rna
56	12.461917	-64.991974	rna
57	12.634162	-70.3277	rna
58	18.022818	-65.48527	rna
59	16.765474	-67.88394	rna
60	11.072564	-69.48489	rna
61	10.448063	-68.07282	rna
62	18.77448	-62.534725	rna
63	15.296985	-69.04793	rna
64	11.62911	-69.79015	rna
65	16.575317	-67.77307	rna
66	14.846371	-67.56975	rna
67	18.587133	-63.56771	rna
68	15.39083	-68.549614	rna
69	12.7663765	-65.24586	rna
70	17.53772	-66.0253	rna
71	10.981002	-69.15253	rna
72	10.860624	-68.73972	rna
73	15.358967	-68.02853	rna
74	15.860938	-68.52853	rna
75	-30.333546	-18.87193	rna
76	15.516596	-68.838104	rna
77	17.126202	-67.66724	rna
78	14.894634	-69.31522	rna
79	12.293303	-69.53638	rna
80	10.513693	-69.70732	rna
81	15.77619	-68.37555	rna
82	18.756098	-63.46696	rna
83	14.10601	-64.006134	rna
84	11.536539	-69.68352	rna
85	15.095899	-69.12557	rna
86	11.549266	-69.20564	rna
87	12.556519	-69.76668	rna
88	10.948979	-69.288475	rna
89	16.624624	-67.90977	rna
90	16.031971	-69.01639	rna
91	17.428074	-67.15034	rna
92	15.894532	-69.28214	rna
93	16.62008	-68.07221	rna
94	15.048939	-68.9186	rna
95	17.05433	-67.011406	rna
96	15.918917	-68.80905	rna
97	13.633881	-69.2269	rna
98	16.219667	-65.45954	rna
99	10.732055	-69.714325	rna
100	7.553286	27.437756	rna
101	4.0597253	-9.4013605	rna
102	1.6215788	22.477018	rna
103	-4.294242	29.3099	rna
104	-6.914816	19.824276	rna
105	5.288669	30.43087	rna
106	-9.006558	17.365639	rna
107	-8.233179	18.753056	rna
108	18.793037	-11.902112	rna
109	3.4239137	23.023916	rna
110	9.103975	26.851873	rna
111	0.68071187	1.8330222	rna
112	6.8385878	31.32874	rna
113	9.479738	-3.6860836	rna
114	4.859919	28.758547	rna
115	-5.419857	32.642796	rna
116	6.227748	28.314096	rna
117	2.639003	22.204208	rna
118	20.692238	-9.565778	rna
119	0.58024263	1.7171894	rna
120	3.6615236	28.953247	rna
121	-13.083143	-5.0915346	rna
122	14.007262	20.69199	rna
123	-15.079393	42.96486	rna
124	5.5143433	33.967037	rna
125	-2.0753472	28.421558	rna
126	-22.556946	-38.23566	rna
127	8.793796	24.287098	rna
128	5.142591	29.802542	rna
129	4.5714087	28.49708	rna
130	10.5453615	26.425917	rna
131	3.470244	24.85207	rna
132	6.9215198	31.38859	rna
133	20.268715	-10.360328	rna
134	8.033318	25.18067	rna
135	-9.039551	17.724495	rna
136	5.4599934	19.70356	rna
137	7.401012	23.134468	rna
138	4.0799665	24.091726	rna
139	2.5511718	22.484518	rna
140	5.9095736	23.778599	rna
141	3.0612433	24.044943	rna
142	-1.9712384	29.376392	rna
143	6.440732	27.10608	rna
144	14.067554	20.765104	rna
145	-8.514149	17.309345	rna
146	9.612376	-5.095801	rna
147	-7.3349743	18.41242	rna
148	16.036324	-16.183489	rna
149	3.3667915	22.960728	rna
150	19.176146	26.811117	rna
151	11.127778	31.998245	rna
152	10.795967	27.636173	rna
153	9.990647	27.372086	rna
154	10.723378	28.900816	rna
155	5.098005	24.344627	rna
156	11.188441	30.733929	rna
157	18.28033	27.139124	rna
158	15.707291	19.351686	rna
159	19.45802	26.244944	rna
160	10.069355	28.973646	rna
161	-19.970835	-38.57121	rna
162	17.18592	18.06592	rna
163	11.1520605	30.701143	rna
164	-5.5437975	34.999985	rna
165	16.363323	18.699198	rna
166	16.385248	18.636272	rna
167	19.170994	26.185423	rna
168	8.484612	27.9923	rna
169	11.373446	30.99656	rna
170	15.956694	19.439621	rna
171	10.40346	27.54254	rna
172	15.644908	18.341959	rna
173	18.219097	27.304296	rna
174	-3.378462	16.414648	rna
175	2.3118076	29.980146	rna
176	5.019653	30.44997	rna
177	-7.265035	19.698898	rna
178	19.453255	26.472176	rna
179	11.051559	28.11757	rna
180	9.131044	26.585949	rna
181	26.749346	-7.764565	rna
182	22.961155	-14.349318	rna
183	6.650564	31.836977	rna
184	17.35594	18.576986	rna
185	-7.083416	19.5532	rna
186	3.244998	23.024239	rna
187	8.440944	26.630884	rna
188	29.014532	-10.871269	rna
189	7.7808404	29.365595	rna
190	15.6446295	18.336794	rna
191	11.437967	31.069849	rna
192	-3.8431883	16.254116	rna
193	10.841642	27.779997	rna
194	11.36908	31.00844	rna
195	12.174341	31.058178	rna
196	10.975346	30.594929	rna
197	18.279222	26.99932	rna
198	21.221497	-8.751584	rna
199	-15.29619	23.381355	rna
200	-24.089176	-42.021877	rna
201	3.146977	36.51695	rna
202	-17.029419	-38.860577	rna
203	-19.677631	-50.220184	rna
204	-3.3509789	17.352118	rna
205	-26.95251	-56.51349	rna
206	-16.264023	45.81751	rna
207	-18.487494	-37.58603	rna
208	-19.67949	-36.979267	rna
209	-21.019295	-35.51454	rna
210	12.947994	31.652225	rna
211	-25.240532	-42.95156	rna
212	-23.71855	-41.970512	rna
213	-2.927272	17.23713	rna
214	-2.5032806	15.639754	rna
215	-26.35552	-57.48779	rna
216	-24.024971	-42.563343	rna
217	-26.448677	-57.819275	rna
218	-24.550247	-43.361416	rna
219	-22.032494	-49.367664	rna
220	-10.567977	-47.804394	rna
221	-27.187592	-56.96016	rna
222	-34.438236	-34.7231	rna
223	-11.213914	21.234251	rna
224	-27.189545	-56.813015	rna
225	-27.376331	-56.968548	rna
226	-17.984304	-39.574825	rna
227	-10.598319	-47.691277	rna
228	-10.632765	-48.05319	rna
229	-23.911242	-41.840588	rna
230	-24.539001	-42.93435	rna
231	-18.733118	-37.457916	rna
232	-24.881063	-63.35126	rna
233	2.703015	33.449898	rna
234	-26.960974	-57.252304	rna
235	-27.151562	-56.956615	rna
236	-10.888109	-47.808636	rna
237	-19.05088	-37.108444	rna
238	-26.795849	-57.426456	rna
239	-22.171278	-48.396626	rna
240	-24.120344	-42.939453	rna
241	-17.890514	-38.4303	rna
242	-10.967918	-48.17486	rna
243	-25.378796	-42.67866	rna
244	-26.855661	-57.068283	rna
245	-28.831371	-1.5045279	rna
246	-11.301619	-48.209084	rna
247	-26.652554	-57.666355	rna
248	-22.876802	-35.01481	rna
249	-26.997015	-57.697083	rna
250	-52.867954	-60.889526	rna
251	-40.725418	-68.25481	rna
252	-50.150726	-66.17007	rna
253	-58.013985	-49.84167	rna
254	-52.61699	-64.66575	rna
255	-47.821163	-63.909916	rna
256	-50.36771	-61.78604	rna
257	-51.5328	-61.392906	rna
258	-40.849155	-54.274464	rna
259	-51.124084	-66.91864	rna
260	-48.281906	-64.04201	rna
261	-47.776794	-65.11876	rna
262	-44.027843	-65.95935	rna
263	-40.419212	-67.0151	rna
264	-47.62017	-64.5718	rna
265	-41.936535	-55.074173	rna
266	-51.832676	-64.58945	rna
267	-54.5898	-64.785255	rna
268	-42.00095	-60.139603	rna
269	-52.12607	-64.22644	rna
270	-50.431053	-60.994606	rna
271	-49.158306	-64.85642	rna
272	-52.859806	-62.26338	rna
273	-42.257614	-77.57079	rna
274	-51.402634	-66.75839	rna
275	-41.880177	-55.01975	rna
276	-51.73489	-64.26063	rna
277	-33.583046	-44.846985	rna
278	-50.597584	-61.212715	rna
279	-52.59083	-62.984806	rna
280	-50.794186	-66.40914	rna
281	-47.71521	-63.927402	rna
282	-42.69168	-60.472473	rna
283	-48.29491	-64.65559	rna
284	-47.949905	-64.585526	rna
285	-52.816208	-61.801346	rna
286	-51.436913	-67.46453	rna
287	-47.404953	-66.39333	rna
288	-52.801933	-65.83544	rna
289	-44.512493	-65.90506	rna
290	-52.098026	-66.042885	rna
291	-36.926525	-49.808434	rna
292	-50.946465	-62.610317	rna
293	-47.65339	-64.06521	rna
294	-51.792152	-64.20706	rna
295	-42.15934	-60.13511	rna
296	-44.18922	-65.99377	rna
297	-43.783245	-66.782295	rna
298	-43.66284	-66.86658	rna
299	-51.33534	-67.19167	rna
300	-34.936836	48.03756	rna
301	-41.8047	45.359882	rna
302	-33.81864	3.9663205	rna
303	-69.891785	-0.92209506	rna
304	-54.94633	24.699738	rna
305	9.927945	-3.611578	rna
306	-23.745596	6.8698354	rna
307	-40.388195	0.77847064	rna
308	-35.270763	4.116671	rna
309	-23.905159	-11.866813	rna
310	-54.592384	24.490326	rna
311	-26.243565	-9.625656	rna
312	8.996905	26.482481	rna
313	-32.79189	-4.9589357	rna
314	-58.592735	28.50848	rna
315	-13.437604	-8.237235	rna
316	-64.23304	4.4404984	rna
317	-50.210793	-8.219979	rna
318	-62.578384	31.771343	rna
319	-54.176876	22.145212	rna
320	-45.135704	4.678627	rna
321	-39.409554	-2.4540844	rna
322	-38.35516	41.167877	rna
323	-22.23545	3.882367	rna
324	-58.417885	21.771046	rna
325	-53.20138	25.182308	rna
326	-57.33928	10.297165	rna
327	-41.014187	43.873867	rna
328	-65.64024	13.955642	rna
329	-33.09174	4.781531	rna
330	-24.188503	-11.4077425	rna
331	-25.543415	-13.457465	rna
332	-66.387276	28.75728	rna
333	-42.53616	44.49831	rna
334	-41.318596	38.95193	rna
335	-55.12396	24.633	rna
336	-18.365751	28.285862	rna
337	20.858738	-14.182823	rna
338	-65.565285	24.562658	rna
339	-68.144516	10.369368	rna
340	-68.44886	-1.859911	rna
341	-24.873	31.462387	rna
342	-17.138823	33.18625	rna
343	-26.711416	33.111954	rna
344	-67.59232	28.157053	rna
345	-67.77477	11.535381	rna
346	-45.770153	24.827078	rna
347	-58.10113	6.349764	rna
348	-25.921415	-12.892965	rna
349	-39.764404	-2.4307475	rna
350	8.83616	23.688265	rna
351	-30.76783	46.316456	rna
352	-21.78289	-3.841909	rna
353	-43.24825	28.277668	rna
354	-17.834562	38.66536	rna
355	-52.796684	42.180252	rna
356	-17.82327	20.076374	rna
357	-22.066301	-4.4007287	rna
358	-31.228523	25.543701	rna
359	-34.946236	27.185514	rna
360	-26.76038	53.50308	rna
361	-9.024943	32.595787	rna
362	-40.907063	-5.7221107	rna
363	-42.961777	-33.461662	rna
364	26.53966	-19.162422	rna
365	-15.126579	6.456146	rna
366	-4.7368183	27.638905	rna
367	-28.30973	55.03837	rna
368	9.638674	2.1850266	rna
369	3.326435	3.5033894	rna
370	5.8746133	-0.80132025	rna
371	37.38934	-12.744971	rna
372	-51.65659	42.603104	rna
373	-16.580112	7.362121	rna
374	-27.671452	53.68611	rna
375	-15.400749	5.7582593	rna
376	-41.159824	-34.19085	rna
377	25.562674	-23.869707	rna
378	-16.606747	8.329072	rna
379	4.9571624	-1.3518254	rna
380	-23.759054	48.874054	rna
381	-11.800949	34.177567	rna
382	2.4474306	28.175552	rna
383	-41.33564	-33.992867	rna
384	-4.849447	27.95742	rna
385	-28.173819	54.669353	rna
386	24.182613	-24.119415	rna
387	23.344501	-22.10235	rna
388	12.966325	-0.65172833	rna
389	10.413829	-69.56387	rna
390	-26.931843	1.6890895	rna
391	10.422226	-0.85484904	rna
392	-50.266785	-34.812878	rna
393	26.30813	-21.759138	rna
394	-12.695907	-14.05021	rna
395	-28.282406	52.870403	rna
396	-43.690098	28.969019	rna
397	-10.565213	29.250181	rna
398	7.014983	-9.895976	rna
399	-30.951124	47.502533	rna
400	-12.060206	-12.117142	rna
401	-17.33384	7.345562	rna
402	21.011793	-14.845136	rna
403	-29.023106	50.93388	rna
404	31.515602	-14.990506	rna
405	0.8815162	30.431034	rna
406	39.381893	23.267178	rna
407	23.564594	-11.953557	rna
408	15.713329	22.280142	rna
409	36.96377	-12.202431	rna
410	-13.929325	4.921098	rna
411	-6.99589	-20.769018	rna
412	-25.682549	-33.049744	rna
413	-10.633483	29.305819	rna
414	31.32633	-12.2474575	rna
415	25.406744	-23.724646	rna
416	-0.2069666	39.089752	rna
417	16.724882	-14.741898	rna
418	-21.957624	31.407154	rna
419	-9.563761	4.688731	rna
420	36.997105	-2.3770168	rna
421	16.744541	-10.826073	rna
422	0.74809986	-31.549416	rna
423	32.076668	-9.56806	rna
424	-52.616074	42.099125	rna
425	-29.993874	-18.878614	rna
426	33.4565	24.350208	rna
427	-27.112574	53.639465	rna
428	22.245138	-17.269796	rna
429	-12.271829	-13.367685	rna
430	31.047031	-14.362413	rna
431	-21.296946	31.860094	rna
432	-13.785185	33.99417	rna
433	7.410373	2.7913918	rna
434	11.663595	-30.61247	rna
435	-10.4766	34.63528	rna
436	-4.255668	30.033085	rna
437	-11.15837	30.070198	rna
438	14.244715	-28.001465	rna
439	-22.984842	-5.4728665	rna
440	-28.098507	53.474247	rna
441	-17.749006	45.193745	rna
442	-7.6761565	19.083239	rna
443	-30.906727	52.747375	rna
444	-16.727983	38.51365	rna
445	-28.936426	49.71176	rna
446	-32.634087	27.512342	rna
447	-1.0626339	0.85712075	rna
448	-7.3316417	28.441355	rna
449	7.1941457	2.4397347	rna
450	-19.64187	43.239998	rna
451	1.4956548	35.952587	rna
452	-9.865077	4.6344433	rna
453	-12.768108	19.200636	rna
454	-13.084028	-1.2700536	rna
455	-9.830246	46.616863	rna
456	14.142688	-9.534711	rna
457	14.251991	-9.220455	rna
458	34.57735	24.924223	rna
459	0.46637747	31.364017	rna
460	-1.7440348	6.617869	rna
461	11.029271	21.138517	rna
462	-20.489073	19.275974	rna
463	2.190548	35.390198	rna
464	-12.901541	-1.1727706	rna
465	-12.353935	17.356188	rna
466	27.974112	-1.0993448	rna
467	9.187282	-27.552414	rna
468	0.7241074	-11.792005	rna
469	-14.316464	20.126791	rna
470	-2.3004336	34.857628	rna
471	-14.014028	18.683615	rna
472	3.0779982	36.10372	rna
473	-8.146594	20.411516	rna
474	-0.96850586	-13.803911	rna
475	-6.2545013	5.0787845	rna
476	11.280863	21.675268	rna
477	-3.8394823	6.826921	rna
478	-2.6804483	34.678185	rna
479	0.676812	32.039356	rna
480	-7.2349777	42.258522	rna
481	23.370443	-2.756969	rna
482	11.582205	21.8758	rna
483	2.731553	36.080154	rna
484	-8.258259	43.945717	rna
485	-8.668089	43.883873	rna
486	11.009471	21.951994	rna
487	-14.08195	19.912338	rna
488	11.755091	22.353786	rna
489	23.111168	-2.4438226	rna
490	0.23970458	35.980415	rna
491	-8.127877	43.302937	rna
492	13.278994	31.27539	rna
493	2.4654813	35.669216	rna
494	14.002136	-10.516839	rna
495	-1.3758092	36.252907	rna
496	14.342987	-10.178249	rna
497	-1.1895299	34.77793	rna
498	-13.932296	19.089594	rna
499	2.4292011	-18.27443	rna
500	-11.319028	47.18505	rna
501	0.30582517	31.847282	rna
502	-5.158814	6.2743273	rna
503	-3.4841845	35.38566	rna
504	-25.672453	31.947891	rna
505	0.9017968	35.877525	rna
506	-4.1137676	36.272243	rna
507	-8.437639	44.06615	rna
508	16.890654	-18.142628	rna
509	10.930893	19.799002	rna
510	-1.3233646	-13.601057	rna
511	-1.620717	35.9777	rna
512	13.5163765	-10.663795	rna
513	-0.31475708	31.935377	rna
514	-14.257597	19.9474	rna
515	-0.1586854	36.32524	rna
516	5.1018777	-19.67768	rna
517	-8.161685	46.526344	rna
518	-6.144539	5.9397798	rna
519	-12.755959	19.1173	rna
520	10.693279	22.015463	rna
521	-7.5686283	43.700912	rna
522	-5.949794	5.1979046	rna
523	23.039673	-3.1904671	rna
524	-2.7225006	37.567158	rna
525	-2.964579	36.703213	rna
526	-7.268032	5.1421657	rna
527	-13.462851	46.755024	rna
528	-0.23072167	31.960127	rna
529	-2.4223313	34.95498	rna
530	-6.7153206	5.3079076	rna
531	34.31587	-2.3528645	rna
532	2.2006238	33.83598	rna
533	-1.7319471	36.278545	rna
534	1.8431605	-12.127633	rna
535	29.689098	-5.589814	rna
536	-0.24985644	31.980597	rna
537	-3.4708579	36.495415	rna
538	3.5522437	-19.370056	rna
539	-7.368345	5.2356877	rna
540	10.931615	20.263931	rna
541	-16.53359	-2.50313	rna
542	11.076122	19.812124	rna
543	-10.954884	45.199226	rna
544	0.54097897	35.819553	rna
545	-4.864006	36.11453	rna
546	-0.43122846	36.45029	rna
547	-14.232798	20.026354	rna
548	-7.890465	44.21277	rna
549	-3.5460808	34.67691	rna
550	-42.204838	-76.19049	rna
551	-25.0804	-38.908924	rna
552	-15.261455	20.953487	rna
553	-22.210096	43.436348	rna
554	-29.735176	-34.519127	rna
555	-1.3938276	34.31946	rna
556	-16.038378	20.232517	rna
