,0,1,
127,0.19737047,0.619859397,Human-Ex Neuron
128,0.173608825,0.589808106,Human-Ex Neuron
129,0.155207321,0.569320321,Human-Ex Neuron
130,0.24737151,0.70043987,Human-Ex Neuron
131,0.136067539,0.589633286,Human-Ex Neuron
132,0.154783413,0.589141607,Human-Ex Neuron
133,0.305317461,0.744345009,Human-Ex Neuron
134,0.324569285,0.765207469,Human-Ex Neuron
135,0.147351235,0.56677407,Human-Ex Neuron
136,0.23881641,0.681312203,Human-Ex Neuron
137,0.174407735,0.607427835,Human-Ex Neuron
138,0.169514686,0.599290252,Human-Ex Neuron
139,0.159526244,0.596910954,Human-Ex Neuron
140,0.316009909,0.756549597,Human-Ex Neuron
141,0.323612303,0.761629999,Human-Ex Neuron
142,0.219249889,0.629193783,Human-Ex Neuron
143,0.31134057,0.777134478,Human-Ex Neuron
144,0.218772471,0.634309888,Human-Ex Neuron
145,0.223542422,0.619215012,Human-Ex Neuron
146,0.165855497,0.57780689,Human-Ex Neuron
147,0.250476539,0.702878356,Human-Ex Neuron
148,0.130634263,0.585420668,Human-Ex Neuron
149,0.22946775,0.638566732,Human-Ex Neuron
150,0.252110064,0.704711676,Human-Ex Neuron
151,0.21190013,0.630975068,Human-Ex Neuron
152,0.301416725,0.742154837,Human-Ex Neuron
153,0.169147879,0.605073571,Human-Ex Neuron
154,0.214576274,0.691529334,Human-Ex Neuron
155,0.190714359,0.607504189,Human-Ex Neuron
156,0.323640823,0.764715791,Human-Ex Neuron
157,0.232818291,0.6525262,Human-Ex Neuron
158,0.295104593,0.736420751,Human-Ex Neuron
159,0.237895101,0.667915821,Human-Ex Neuron
160,0.185688928,0.61389339,Human-Ex Neuron
161,0.153195933,0.577371538,Human-Ex Neuron
162,0.254806906,0.745130718,Human-Ex Neuron
163,0.22501038,0.628941178,Human-Ex Neuron
164,0.210151002,0.628358126,Human-Ex Neuron
165,0.19078359,0.608930051,Human-Ex Neuron
166,0.308724374,0.74453336,Human-Ex Neuron
167,0.13763541,0.562724173,Human-Ex Neuron
168,0.231875569,0.653552413,Human-Ex Neuron
169,0.17764087,0.60242027,Human-Ex Neuron
170,0.147697702,0.580795586,Human-Ex Neuron
171,0.172677889,0.574521303,Human-Ex Neuron
172,0.226354152,0.715492606,Human-Ex Neuron
173,0.306791127,0.746080577,Human-Ex Neuron
174,0.318490505,0.757126212,Human-Ex Neuron
175,0.234844297,0.650256813,Human-Ex Neuron
176,0.307464808,0.748394191,Human-Ex Neuron
177,0.213998944,0.628644288,Human-Ex Neuron
178,0.304838628,0.75353092,Human-Ex Neuron
179,0.172605798,0.588273823,Human-Ex Neuron
180,0.23478578,0.691080451,Human-Ex Neuron
181,0.207349271,0.618852496,Human-Ex Neuron
182,0.234137803,0.656969309,Human-Ex Neuron
183,0.239312395,0.655707598,Human-Ex Neuron
184,0.24248594,0.708096445,Human-Ex Neuron
185,0.25958541,0.715330601,Human-Ex Neuron
186,0.216140568,0.632277429,Human-Ex Neuron
187,0.153362557,0.590336919,Human-Ex Neuron
188,0.312950552,0.754760504,Human-Ex Neuron
189,0.138132095,0.56758976,Human-Ex Neuron
190,0.159706444,0.652308524,Human-Ex Neuron
191,0.260083526,0.712718666,Human-Ex Neuron
192,0.157688633,0.573543608,Human-Ex Neuron
193,0.224796996,0.649264157,Human-Ex Neuron
194,0.162267685,0.582562566,Human-Ex Neuron
195,0.144306496,0.57570523,Human-Ex Neuron
196,0.139573649,0.57976228,Human-Ex Neuron
197,0.234114259,0.674605429,Human-Ex Neuron
198,0.169427261,0.599589944,Human-Ex Neuron
199,0.31401813,0.765364468,Human-Ex Neuron
200,0.193535373,0.606565773,Human-Ex Neuron
201,0.29867208,0.727196991,Human-Ex Neuron
202,0.207781732,0.642330468,Human-Ex Neuron
203,0.138893202,0.571643889,Human-Ex Neuron
204,0.308877081,0.764523089,Human-Ex Neuron
205,0.314363539,0.75122875,Human-Ex Neuron
206,0.132115424,0.58309567,Human-Ex Neuron
207,0.258765459,0.7113114,Human-Ex Neuron
208,0.239642084,0.683209777,Human-Ex Neuron
209,0.13959007,0.566485047,Human-Ex Neuron
210,0.200533316,0.617154717,Human-Ex Neuron
211,0.302280933,0.771299779,Human-Ex Neuron
212,0.139230743,0.59538877,Human-Ex Neuron
213,0.199545637,0.572084248,Human-Ex Neuron
214,0.190191269,0.61199373,Human-Ex Neuron
215,0.146915913,0.569104791,Human-Ex Neuron
216,0.177906707,0.620987713,Human-Ex Neuron
217,0.289182842,0.745763004,Human-Ex Neuron
218,0.317525685,0.755611897,Human-Ex Neuron
