,0,1,
131,30.346338,-27.723375,Human-Ex Neuron
132,45.8404,-40.635406,Human-Ex Neuron
133,37.22485,-32.072277,Human-Ex Neuron
134,-20.538662,44.044373,Human-Ex Neuron
135,33.723003,-26.630856,Human-Ex Neuron
136,-10.396249,26.967398,Human-Ex Neuron
137,18.778856,-6.5993257,Human-Ex Neuron
138,2.3456607,8.40672,Human-Ex Neuron
139,3.082627,5.4199963,Human-Ex Neuron
140,30.624659,-23.843277,Human-Ex Neuron
141,-14.310336,32.83292,Human-Ex Neuron
142,17.140417,-6.832561,Human-Ex Neuron
143,-10.945645,29.147915,Human-Ex Neuron
144,48.512943,-44.09307,Human-Ex Neuron
145,-13.502014,32.84358,Human-Ex Neuron
146,2.118866,11.075612,Human-Ex Neuron
147,49.237644,-45.925827,Human-Ex Neuron
148,-9.5921955,25.22698,Human-Ex Neuron
149,12.623855,-0.013199708,Human-Ex Neuron
150,-18.385906,38.786438,Human-Ex Neuron
151,39.15004,-34.701244,Human-Ex Neuron
152,-12.866224,30.007393,Human-Ex Neuron
153,9.152753,-2.1356187,Human-Ex Neuron
154,24.902763,-13.392155,Human-Ex Neuron
155,0.29461747,10.4764,Human-Ex Neuron
156,-2.70607,15.973982,Human-Ex Neuron
157,19.707893,-9.002152,Human-Ex Neuron
158,13.3861685,-3.7834997,Human-Ex Neuron
159,-21.28542,44.443825,Human-Ex Neuron
160,28.430664,-19.36873,Human-Ex Neuron
161,-7.1396894,25.162813,Human-Ex Neuron
162,47.311893,-43.184593,Human-Ex Neuron
163,30.736706,-25.29909,Human-Ex Neuron
164,-7.2065926,24.832481,Human-Ex Neuron
165,2.2083633,8.198645,Human-Ex Neuron
166,5.74801,5.1588993,Human-Ex Neuron
167,30.825607,-24.382193,Human-Ex Neuron
168,18.458319,-6.639939,Human-Ex Neuron
169,30.90767,-25.155317,Human-Ex Neuron
170,27.702055,-19.93782,Human-Ex Neuron
171,29.326902,-20.301842,Human-Ex Neuron
172,1.1293896,9.038348,Human-Ex Neuron
173,2.4267733,8.390259,Human-Ex Neuron
174,22.535637,-11.377885,Human-Ex Neuron
175,2.2692473,8.606214,Human-Ex Neuron
176,-6.119908,18.546923,Human-Ex Neuron
177,-10.974807,30.497202,Human-Ex Neuron
178,-8.408421,21.000404,Human-Ex Neuron
179,31.542215,-26.487324,Human-Ex Neuron
180,23.278292,-11.658491,Human-Ex Neuron
181,35.689667,-31.155252,Human-Ex Neuron
182,-4.9659443,21.781336,Human-Ex Neuron
183,14.91988,-3.3015885,Human-Ex Neuron
184,-5.9975758,24.536787,Human-Ex Neuron
185,33.706978,-29.131641,Human-Ex Neuron
186,-1.2300675,17.303946,Human-Ex Neuron
187,33.910675,-28.549887,Human-Ex Neuron
188,-15.827485,34.835495,Human-Ex Neuron
189,1.2779784,7.129949,Human-Ex Neuron
190,36.257206,-31.715036,Human-Ex Neuron
191,0.75129664,10.294052,Human-Ex Neuron
192,5.6933475,1.8943853,Human-Ex Neuron
193,9.13324,2.1869397,Human-Ex Neuron
194,50.282787,-44.621952,Human-Ex Neuron
195,23.250992,-12.950046,Human-Ex Neuron
196,29.10385,-20.724379,Human-Ex Neuron
197,32.563145,-25.475487,Human-Ex Neuron
198,-20.932547,43.56195,Human-Ex Neuron
199,48.97523,-45.51642,Human-Ex Neuron
200,28.019552,-18.49194,Human-Ex Neuron
201,6.7359786,1.1056575,Human-Ex Neuron
202,-11.26754,28.484009,Human-Ex Neuron
203,49.792656,-41.010574,Human-Ex Neuron
204,0.7632106,13.287107,Human-Ex Neuron
205,45.760113,-35.276367,Human-Ex Neuron
206,47.932198,-44.12939,Human-Ex Neuron
207,-7.400781,24.629892,Human-Ex Neuron
208,27.080782,-17.131725,Human-Ex Neuron
209,38.39986,-34.017002,Human-Ex Neuron
210,12.091593,-7.8074594,Human-Ex Neuron
211,-5.467188,22.3297,Human-Ex Neuron
212,-0.7016323,16.144419,Human-Ex Neuron
213,7.7258,1.8780988,Human-Ex Neuron
214,33.038803,-27.642996,Human-Ex Neuron
215,-5.808425,23.4465,Human-Ex Neuron
216,-1.5118023,13.52868,Human-Ex Neuron
217,12.8671,-2.1515272,Human-Ex Neuron
218,33.849518,-27.931536,Human-Ex Neuron
219,43.368652,-38.564793,Human-Ex Neuron
220,-17.000399,36.64873,Human-Ex Neuron
221,-21.903023,44.397335,Human-Ex Neuron
222,30.798782,-23.866411,Human-Ex Neuron
223,-22.386045,43.99804,Human-Ex Neuron
224,-4.6906543,21.460823,Human-Ex Neuron
225,36.59225,-33.76787,Human-Ex Neuron
226,18.67969,-4.482038,Human-Ex Neuron
227,28.345192,-21.469187,Human-Ex Neuron
228,50.000217,-40.117897,Human-Ex Neuron
229,-7.9690266,25.828245,Human-Ex Neuron
230,10.459898,-2.368977,Human-Ex Neuron
231,11.495709,-0.66892743,Human-Ex Neuron
232,-7.168402,20.344727,Human-Ex Neuron
233,34.538723,-27.817451,Human-Ex Neuron
234,-10.395199,28.268026,Human-Ex Neuron
235,19.243849,-5.597569,Human-Ex Neuron
236,23.588003,-11.527937,Human-Ex Neuron
237,11.534799,-2.8401492,Human-Ex Neuron
238,-1.6283451,13.329037,Human-Ex Neuron
239,11.125127,-1.9835035,Human-Ex Neuron
240,7.280132,3.4912384,Human-Ex Neuron
241,46.537678,-41.470284,Human-Ex Neuron
242,48.795635,-44.926834,Human-Ex Neuron
243,26.316702,-18.246283,Human-Ex Neuron
244,24.391756,-11.691486,Human-Ex Neuron
245,-8.557776,26.288424,Human-Ex Neuron
246,-19.22478,40.307507,Human-Ex Neuron
247,-3.0126507,15.636238,Human-Ex Neuron
248,18.272245,-4.1274858,Human-Ex Neuron
249,10.642045,-3.4827194,Human-Ex Neuron
250,-19.604546,41.21229,Human-Ex Neuron
251,-19.417313,40.631653,Human-Ex Neuron
252,-15.7902355,34.277885,Human-Ex Neuron
253,8.676124,0.88305885,Human-Ex Neuron
254,4.983971,1.0957781,Human-Ex Neuron
255,-20.703285,43.99859,Human-Ex Neuron
256,13.955326,-2.5350206,Human-Ex Neuron
257,-19.564417,41.000267,Human-Ex Neuron
258,34.60442,-31.663065,Human-Ex Neuron
259,22.381418,-8.699429,Human-Ex Neuron
260,2.7413685,9.843061,Human-Ex Neuron
261,-21.961859,43.849277,Human-Ex Neuron
262,-8.736034,24.382526,Human-Ex Neuron
263,13.503623,-4.052995,Human-Ex Neuron
264,44.705482,-40.740932,Human-Ex Neuron
265,44.365746,-39.11078,Human-Ex Neuron
266,-5.437884,20.657494,Human-Ex Neuron
267,-15.523355,34.93954,Human-Ex Neuron
268,34.408367,-26.464838,Human-Ex Neuron
269,-3.466629,15.3782215,Human-Ex Neuron
270,39.29751,-33.863194,Human-Ex Neuron
271,30.227226,-22.849117,Human-Ex Neuron
272,12.350763,-2.1134949,Human-Ex Neuron
273,21.48456,-11.402181,Human-Ex Neuron
274,44.654217,-39.146046,Human-Ex Neuron
275,20.959108,-7.0886846,Human-Ex Neuron
276,-15.451152,34.0315,Human-Ex Neuron
277,-19.203056,40.522007,Human-Ex Neuron
278,40.23216,-36.607613,Human-Ex Neuron
279,-3.6790688,18.751081,Human-Ex Neuron
280,7.474385,-0.73433137,Human-Ex Neuron
281,4.90048,5.323589,Human-Ex Neuron
282,39.09926,-33.80711,Human-Ex Neuron
283,-0.5233207,9.725748,Human-Ex Neuron
284,8.443842,2.6580453,Human-Ex Neuron
285,-13.446648,31.529488,Human-Ex Neuron
286,31.599133,-22.25002,Human-Ex Neuron
287,4.249417,6.731707,Human-Ex Neuron
288,5.9714775,0.5297538,Human-Ex Neuron
289,50.520252,-38.834785,Human-Ex Neuron
290,38.687542,-33.18784,Human-Ex Neuron
291,4.2924356,8.981592,Human-Ex Neuron
292,16.727848,-5.587063,Human-Ex Neuron
293,45.77919,-35.384773,Human-Ex Neuron
294,-9.622895,25.18807,Human-Ex Neuron
295,5.08758,1.9770645,Human-Ex Neuron
296,-20.841644,43.63013,Human-Ex Neuron
297,50.363113,-39.478443,Human-Ex Neuron
